year,pct_nulos,n_paises
1960,85.87,217
1961,79.52,217
1962,79.4,217
1963,79.37,217
1964,79.34,217
1965,79.22,217
1966,79.13,217
1967,79.02,217
1968,78.93,217
1969,78.85,217
1970,76.82,217
1971,73.85,217
1972,73.8,217
1973,74.01,217
1974,74.13,217
1975,73.92,217
1976,73.52,217
1977,73.48,217
1978,73.26,217
1979,73.17,217
1980,72.75,217
1981,72.12,217
1982,72.57,217
1983,72.34,217
1984,72.18,217
1985,72.25,217
1986,72.07,217
1987,72.26,217
1988,72.32,217
1989,72.18,217
1990,63.54,217
1991,63.74,217
1992,62.72,217
1993,62.66,217
1994,61.76,217
1995,61.51,217
1996,61.3,217
1997,61.58,217
1998,59.7,217
1999,56.64,217
2000,45.68,222
2001,47.17,222
2002,46.38,222
2003,46.65,222
2004,45.27,222
2005,44.39,222
2006,44.51,222
2007,44.41,222
2008,44.08,222
2009,43.38,222
2010,40.38,222
2011,41.38,222
2012,40.54,222
2013,41.7,222
2014,41.04,222
2015,39.46,222
2016,37.85,222
2017,39.18,222
2018,39.61,226
2019,39.47,225
2020,39.23,225
2021,38.94,225
2022,38.99,225
2023,42.54,225
2024,71.51,222
2025,83.53,14
