variable_1,variable_2,correlacion_abs
edu_out_of_school_children_female,edu_out_of_school_children_male,0.9901
elec_electricity_access_total,elec_electricity_access_rural,0.9545
edu_primary_schools_internet,edu_secondary_schools_internet,0.9357
edu_lower_secondary_schools_electricity,edu_primary_schools_electricity,0.9277
edu_out_of_school_children_male,edu_literacy_rate,0.9169
edu_primary_schools_electricity,edu_literacy_rate,0.911
elec_electricity_access_total,elec_electricity_access_urban,0.905
edu_educational_attainment_rate,edu_literacy_rate,0.9031
des_tasa_pobreza,elec_electricity_access_rural,0.9026
des_tasa_pobreza,elec_electricity_access_total,0.9005
edu_educational_attainment_rate,des_hdi,0.8974
des_tasa_natalidad,des_hdi,0.889
edu_school_enrollment_secondary,des_hdi,0.8804
des_tasa_mortalidad_infantil,des_hdi,0.8715
edu_literacy_rate,des_hdi,0.86
edu_primary_schools_electricity,elec_electricity_access_rural,0.8561
edu_primary_schools_electricity,elec_electricity_access_total,0.8557
des_tasa_natalidad,des_tasa_mortalidad_infantil,0.8543
edu_secondary_schools_internet,des_hdi,0.8542
