variable_1,variable_2,correlacion_abs
edu_out_of_school_children_female,edu_out_of_school_children_male,0.9849
elec_electricity_access_total,elec_electricity_access_rural,0.9444
edu_educational_attainment_rate,des_hdi,0.9229
edu_primary_schools_internet,edu_secondary_schools_internet,0.9218
edu_lower_secondary_schools_electricity,edu_primary_schools_electricity,0.9198
elec_electricity_access_total,elec_electricity_access_urban,0.9043
des_tasa_natalidad,des_hdi,0.889
des_tasa_mortalidad_infantil,des_hdi,0.8715
edu_lower_secondary_schools_electricity,edu_upper_secondary_schools_electricity,0.8711
edu_secondary_schools_internet,des_hdi,0.8577
des_tasa_natalidad,des_tasa_mortalidad_infantil,0.854
