variable,n_validos,pct_nulos,media,mediana,std,min,p25,p75,max
edu_educational_attainment_rate,193,5.85,78.87,90.3,24.49,14.47,63.1,98.74,100.0
edu_public_expenditure_education,202,1.46,4.21,4.07,2.04,0.0,2.9,5.2,16.39
edu_school_enrollment_primary,204,0.49,100.27,100.27,15.79,20.92,95.02,105.51,183.99
edu_school_enrollment_secondary,204,0.49,84.76,91.85,29.11,3.35,69.13,102.68,153.59
edu_lower_secondary_schools_electricity,167,18.54,86.7,100.0,23.35,6.56,82.94,100.0,100.0
edu_out_of_school_children_female,198,3.41,198626.07,15227.0,627043.42,17.0,1679.75,93836.5,4710783.01
edu_out_of_school_children_male,198,3.41,188528.24,15910.06,583352.46,17.0,2096.75,91049.5,4387494.0
edu_years_free_primary_secondary,188,8.29,10.71,12.0,2.14,5.0,9.0,12.0,13.0
edu_primary_completion_rate,196,4.39,89.6,94.62,18.27,28.66,81.04,99.97,152.94
edu_primary_schools_internet,149,27.32,63.67,81.25,39.11,0.0,29.61,100.0,100.0
edu_primary_schools_electricity,171,16.59,81.96,99.79,28.86,3.75,73.95,100.0,100.0
edu_secondary_schools_internet,167,18.54,74.31,94.79,33.6,0.0,52.35,100.0,100.0
edu_upper_secondary_schools_electricity,170,17.07,90.05,100.0,19.39,1.12,91.67,100.0,100.0
edu_years_compulsory_education,205,0.0,9.1,9.0,2.87,0.0,8.0,11.0,13.0
des_gdp_per_capita,203,0.98,20816.05,7424.76,32795.77,250.63,2540.57,26609.25,256799.79
des_densidad_poblacion,205,0.0,466.29,95.14,2083.58,2.23,38.54,240.49,20569.7
des_deflactor_inflacion_gdp,203,0.98,14.0,5.29,62.41,-20.82,2.34,8.62,768.48
des_tasa_natalidad,205,0.0,17.77,15.03,9.78,4.4,9.7,25.5,46.36
des_crecimiento_poblacion_rural,198,3.41,-2.3,0.4,18.91,-172.33,-0.66,1.25,8.71
des_poblacion_rural,205,0.0,16716109.1,2097963.0,75355712.03,0.0,382532.0,9934840.0,933771782.0
des_tasa_mortalidad_infantil,194,5.37,18.84,13.3,16.77,1.4,5.0,29.78,72.6
des_hdi,85,58.54,0.76,0.79,0.15,0.42,0.67,0.9,0.97
elec_electricity_access_total,205,0.0,87.81,100.0,22.74,5.4,87.7,100.0,100.0
elec_electricity_access_rural,204,0.49,81.59,100.0,32.14,0.4,80.42,100.0,100.0
elec_electricity_access_urban,204,0.49,94.65,100.0,12.35,19.1,97.1,100.0,100.0
elec_electricity_consumption,148,27.8,4050.83,2542.67,5574.2,0.0,734.48,5145.74,49955.64
elec_gdp_per_unit_energy_use,170,17.07,16.84,13.62,20.17,2.79,9.64,19.23,253.96
