variable,tipo,pct_nulos,varianza,std,n_outliers,pct_outliers,correlacion_alta,motivo
des_hdi,numerica,58.54,0.021895,0.147969,0,0.0,True,nulos>40%; correlacion_alta
elec_electricity_consumption,numerica,27.8,31071753.538716,5574.204296,10,6.76,False,sin_problemas_graves
edu_primary_schools_internet,numerica,27.32,1529.935103,39.114385,0,0.0,True,correlacion_alta
edu_lower_secondary_schools_electricity,numerica,18.54,545.046979,23.346241,23,13.77,True,correlacion_alta
edu_secondary_schools_internet,numerica,18.54,1128.822411,33.597952,0,0.0,True,correlacion_alta
edu_upper_secondary_schools_electricity,numerica,17.07,375.998555,19.390682,32,18.82,True,correlacion_alta
elec_gdp_per_unit_energy_use,numerica,17.07,406.944592,20.172868,7,4.12,False,sin_problemas_graves
edu_primary_schools_electricity,numerica,16.59,833.071656,28.862981,21,12.28,True,correlacion_alta
edu_years_free_primary_secondary,numerica,8.29,4.580157,2.14013,0,0.0,False,sin_problemas_graves
edu_educational_attainment_rate,numerica,5.85,599.564719,24.486011,0,0.0,True,correlacion_alta
des_tasa_mortalidad_infantil,numerica,5.37,281.367035,16.773999,3,1.55,True,correlacion_alta
edu_primary_completion_rate,numerica,4.39,333.725978,18.268168,12,6.12,False,sin_problemas_graves
des_crecimiento_poblacion_rural,numerica,3.41,357.757757,18.914485,12,6.06,False,sin_problemas_graves
edu_out_of_school_children_female,numerica,3.41,393183449278.3282,627043.418974,29,14.65,True,correlacion_alta
edu_out_of_school_children_male,numerica,3.41,340300098197.0927,583352.464808,32,16.16,True,correlacion_alta
edu_public_expenditure_education,numerica,1.46,4.165217,2.040886,4,1.98,False,sin_problemas_graves
des_deflactor_inflacion_gdp,numerica,0.98,3895.09044,62.41066,38,18.72,False,sin_problemas_graves
des_gdp_per_capita,numerica,0.98,1075562693.455435,32795.772494,16,7.88,False,sin_problemas_graves
edu_school_enrollment_primary,numerica,0.49,249.287416,15.788838,22,10.78,False,sin_problemas_graves
edu_school_enrollment_secondary,numerica,0.49,847.514704,29.112106,6,2.94,False,sin_problemas_graves
elec_electricity_access_rural,numerica,0.49,1033.278762,32.144654,39,19.12,True,correlacion_alta
elec_electricity_access_urban,numerica,0.49,152.481996,12.34836,39,19.12,True,correlacion_alta
des_densidad_poblacion,numerica,0.0,4341295.844309,2083.577655,19,9.27,False,sin_problemas_graves
des_poblacion_rural,numerica,0.0,5678483335253249.0,75355712.028042,23,11.22,False,sin_problemas_graves
des_tasa_natalidad,numerica,0.0,95.700278,9.782652,0,0.0,True,correlacion_alta
edu_years_compulsory_education,numerica,0.0,8.239455,2.870445,11,5.37,False,sin_problemas_graves
elec_electricity_access_total,numerica,0.0,516.903662,22.735515,38,18.54,True,correlacion_alta
