;PC1;PC2;PC3;PC4;PC5;PC6;PC7;PC8
edu_educational_attainment_rate;-0,309;0,046;-0,071;-0,059;0,037;-0,005;-0,032;-0,219
edu_public_expenditure_education;-0,1;-0,15;-0,276;0,205;-0,516;-0,05;0,535;-0,281
edu_school_enrollment_primary;-0,062;-0,149;0,031;0,645;0,374;-0,169;0,171;0,308
edu_school_enrollment_secondary;-0,329;0,01;-0,009;0,147;0,031;-0,125;0,103;-0,074
edu_out_of_school_children_female;0,159;0,586;0,015;0,05;-0,035;-0,127;0,139;-0,145
edu_out_of_school_children_male;0,157;0,586;0,014;0,055;-0,032;-0,129;0,148;-0,158
edu_years_free_primary_secondary;-0,157;0,007;0,099;-0,35;-0,031;-0,413;0,484;0,31
edu_primary_completion_rate;-0,295;0,023;-0,025;0,271;0,129;-0,03;0,195;0,012
edu_years_compulsory_education;-0,179;0,17;-0,022;-0,327;0,066;-0,287;-0,036;0,451
des_gdp_per_capita;-0,19;0,02;0,405;0,021;0,101;-0,399;-0,201;-0,403
des_densidad_poblacion;-0,075;0,02;0,659;0,133;-0,047;0,073;0,057;-0,145
des_deflactor_inflacion_gdp;0,032;0,018;-0,004;-0,269;0,664;0,379;0,465;-0,238
des_tasa_natalidad;0,334;-0,066;-0,047;0,014;-0,046;-0,032;0,148;-0,025
des_crecimiento_poblacion_rural;0,057;-0,013;-0,511;0,039;0,323;-0,439;-0,225;-0,306
des_poblacion_rural;0,041;0,414;-0,07;0,332;0,023;0,181;-0,083;0,303
des_tasa_mortalidad_infantil;0,336;-0,02;0,037;0,018;-0,017;0,009;0,081;0,021
elec_electricity_access_total;-0,339;0,14;-0,117;-0,052;-0,051;0,205;-0,085;-0,004
elec_electricity_access_rural;-0,335;0,136;-0,101;-0,048;-0,043;0,168;-0,031;-0,01
elec_electricity_access_urban;-0,297;0,147;-0,124;-0,011;-0,044;0,249;-0,069;-0,006
