country_code;cluster
ABW;0
ALB;0
AND;0
ARE;0
ARG;0
ARM;0
ATG;0
AUS;0
AUT;0
AZE;0
BEL;0
BGD;0
BGR;0
BHR;0
BHS;0
BIH;0
BLR;0
BLZ;0
BMU;0
BOL;0
BRA;0
BRB;0
BRN;0
BTN;0
CAN;0
CHE;0
CHL;0
COL;0
CPV;0
CRI;0
CUB;0
CUW;0
CYM;0
CYP;0
CZE;0
DEU;0
DMA;0
DNK;0
DOM;0
DZA;0
ECU;0
EGY;0
ESP;0
EST;0
FIN;0
FJI;0
FRA;0
FSM;0
GAB;0
GBR;0
GEO;0
GHA;0
GIB;0
GRC;0
GRD;0
GTM;0
GUY;0
HND;0
HRV;0
HUN;0
IDN;0
IRL;0
IRN;0
IRQ;0
ISL;0
ISR;0
ITA;0
JAM;0
JOR;0
JPN;0
KAZ;0
KEN;0
KGZ;0
KIR;0
KNA;0
KOR;0
LAO;0
LBN;0
LBY;0
LCA;0
LIE;0
LKA;0
LTU;0
LUX;0
LVA;0
MAR;0
MDA;0
MDV;0
MEX;0
MHL;0
MKD;0
MLT;0
MNE;0
MNG;0
MUS;0
MYS;0
NCL;0
NIC;0
NLD;0
NOR;0
NPL;0
NRU;0
NZL;0
OMN;0
PAN;0
PER;0
PHL;0
PLW;0
POL;0
PRI;0
PRT;0
PRY;0
PSE;0
QAT;0
ROU;0
RUS;0
SAU;0
SGP;0
SLV;0
SMR;0
SRB;0
STP;0
SUR;0
SVK;0
SVN;0
SWE;0
SWZ;0
SXM;0
SYC;0
SYR;0
TCA;0
THA;0
TJK;0
TKM;0
TLS;0
TON;0
TTO;0
TUN;0
TUR;0
TUV;0
UKR;0
URY;0
USA;0
UZB;0
VCT;0
VEN;0
VGB;0
VNM;0
VUT;0
WSM;0
ZAF;0
AFG;1
AGO;1
BDI;1
BEN;1
BFA;1
BWA;1
CAF;1
CIV;1
CMR;1
COG;1
COM;1
DJI;1
ERI;1
GIN;1
GMB;1
GNB;1
GNQ;1
HTI;1
KHM;1
LBR;1
LSO;1
MDG;1
MLI;1
MMR;1
MOZ;1
MRT;1
MWI;1
NAM;1
NER;1
PNG;1
RWA;1
SDN;1
SEN;1
SLB;1
SLE;1
SOM;1
SSD;1
TCD;1
TGO;1
TZA;1
UGA;1
YEM;1
ZMB;1
ZWE;1
CHN;2
COD;2
ETH;2
IND;2
NGA;2
PAK;2
HKG;3
KWT;3
MAC;3
MCO;3
