;Cluster 0;Cluster 1;Cluster 2;Cluster 3
elec_electricity_access_total;98,45;52,3;72,3;100,0
elec_electricity_access_rural;96,76;30,99;61,58;100,0
edu_educational_attainment_rate;89,67;46,53;62,61;85,48
edu_primary_completion_rate;96,08;68,4;77,81;107,19
edu_school_enrollment_secondary;96,62;45,35;58,36;111,94
edu_out_of_school_children_female;53819,83;284885,41;3124516,61;6424,5
edu_out_of_school_children_male;53311,42;276939,7;2860713,69;10077,27
des_gdp_per_capita;24757,68;1653,33;3449,4;102163,59
des_tasa_mortalidad_infantil;11,31;41,77;36,57;9,12
des_tasa_natalidad;13,7;31,53;26,08;7,41
