country_code,year,edu_educational_attainment_rate,edu_public_expenditure_education,edu_school_enrollment_primary,edu_school_enrollment_secondary,edu_lower_secondary_schools_electricity,edu_out_of_school_children_female,edu_out_of_school_children_male,edu_years_free_primary_secondary,edu_primary_completion_rate,edu_primary_schools_internet,edu_primary_schools_electricity,edu_secondary_schools_internet,edu_upper_secondary_schools_electricity,edu_years_compulsory_education,des_gdp_per_capita,des_densidad_poblacion,des_deflactor_inflacion_gdp,des_tasa_natalidad,des_crecimiento_poblacion_rural,des_poblacion_rural,des_tasa_mortalidad_infantil,des_hdi,elec_electricity_access_total,elec_electricity_access_rural,elec_electricity_access_urban,elec_electricity_consumption,elec_gdp_per_unit_energy_use
ABW,2023,96.48063659667967,,,,,,,11.0,,,,,,11.0,35718.7531191634,596.438888888889,7.10903726756209,7.973,0.166100822282021,40973.0,,,100.0,100.0,100.0,,
AFG,2023,,,,,,,,12.0,,,,,,9.0,413.757894705303,63.5585008355948,2.92366213121669,35.437,2.02947825567516,30894968.0,50.4,0.496,85.3,81.4,96.0,,
AGO,2023,,2.51273663315785,86.7353918783767,51.4839046246776,,1142017.0,1139895.0,9.0,47.8556786596463,,,,,9.0,2916.13663284275,29.4777460495709,17.9292334566891,37.588,0.458858798452888,11079544.0,38.3,0.616,51.1,,77.9,,
ALB,2023,99.27999877929688,3.09153008460998,93.7138120137738,96.1368771236947,100.0,10813.0,6226.0,12.0,95.1351520460518,,,,100.0,9.0,9730.86921906893,100.21795620438,5.73390704564409,10.244,-2.36825837676933,1008836.0,8.3,0.81,100.0,100.0,100.0,2539.71999714491,21.9341627044775
AND,2023,,1.89867997169495,97.4446725986767,99.5086517333984,100.0,,,10.0,69.4174757281553,100.0,100.0,100.0,100.0,10.0,46812.4261013102,172.034042553191,6.29560082401824,6.859,0.855418202886056,9040.0,2.5,0.913,100.0,100.0,100.0,,
ARE,2023,93.79000091552734,,106.259950303562,101.944972436447,100.0,312.0,607.0,12.0,99.1737916980463,100.0,100.0,100.0,100.0,12.0,49850.6872175164,147.616882568291,-2.02054900725329,9.774,2.91298761379646,1502524.0,4.0,0.94,100.0,100.0,100.0,,
ARG,2023,,5.89754023690244,102.535244031037,105.574584297051,92.9935604601244,,,12.0,98.9436486948575,64.75566855908885,97.68381456584584,71.81093394077449,93.02696006135332,12.0,14261.8465667948,16.6399559321662,136.742358437599,11.064,-0.753967093261385,3554494.0,8.2,0.865,100.0,100.0,100.0,2821.77233232234,14.8632109717379
ARM,2023,99.6526870727539,2.43869996070862,98.0899878191202,89.4111027634947,100.0,3891.0,1698.0,12.0,94.3309098054628,100.0,100.0,100.0,100.0,12.0,8159.08720967996,105.119108748259,3.10027629995311,12.3,-0.552810244518958,1016883.0,8.9,0.811,100.0,100.0,100.0,,
ATG,2023,99.3842820562061,3.10505161832136,112.255406797116,108.880778588808,100.0,,,11.0,,,100.0,,100.0,11.0,21494.5474000727,212.081818181818,4.91194084907252,11.848,0.591818719338182,70500.0,7.3,0.851,100.0,100.0,100.0,,
AUS,2023,99.4919273180723,,99.3657531738281,134.099243164062,,1110.0,3609.0,13.0,,,,,,11.0,65058.3773146674,3.46499060064846,6.45944110641071,10.8,1.22420601665896,3336037.0,3.1,0.958,100.0,100.0,100.0,9822.50367381981,12.3151953921995
AUT,2023,100.0,,100.902870178223,100.504371643066,,2716.0,2629.0,12.0,98.030403137207,,,,,12.0,56579.504175468,110.661185167232,7.1747129124039,8.5,0.249835075702841,2810159.0,2.6,0.93,100.0,100.0,100.0,7806.05186666624,19.5049628412835
AZE,2023,99.94000244140624,3.66400003433227,101.979698816442,92.7402972401367,100.0,5710.0,3747.0,11.0,96.2334128073598,75.26517716091176,100.0,83.79827880859375,100.0,9.0,7133.02838048328,122.854906231095,-9.32261504785629,11.1,-0.0465341720728934,4213127.0,13.3,0.789,100.0,100.0,100.0,2366.9587760753,12.3027195126062
BDI,2023,,,,,,,,,,,,,,0.0,250.627253097255,533.078271028037,18.9913692679384,33.667,1.12732213399327,10465109.0,31.5,0.439,11.6,2.3,65.0,,
BEL,2023,95.765030263736,,102.108009338379,142.960266113281,,6554.0,6672.0,12.0,,,,,,12.0,55291.4754541329,386.5489276579,5.50779310835875,9.4,0.351059121387102,1466427.0,3.0,0.951,100.0,100.0,100.0,6927.29869794271,15.5749809346994
BEN,2023,,3.22974322056608,,,,,,6.0,,,,,,6.0,1394.17784721831,125.142195814118,3.38561739537163,33.879,0.912929305071873,6809168.0,46.4,0.515,57.0,43.7,70.3,,
BFA,2023,18.7572840446853,5.32757840997187,72.2385948607578,30.8551216331757,43.30708661417323,799663.0,847639.0,10.0,51.6947761170006,0.4225352112676056,31.15023474178404,1.795270153633696,32.65086206896552,10.0,873.482589651003,84.1585380116959,1.96648133830102,31.643,1.56857099773712,16627547.0,44.8,0.459,21.7,2.0,62.6,,
BGD,2023,,2.16213826344701,103.116421399751,65.9856598598849,98.74911202396764,,,5.0,98.0281882152568,79.22969554217919,95.29965977492805,57.82803436375652,98.8241222912817,5.0,2551.01773827307,1319.17979689183,6.89712404003441,20.353,0.510663653596374,116326899.0,24.4,0.685,99.5,99.6,99.5,,
BGR,2023,99.2355703499393,,95.4232177734375,95.6239624023438,,6566.0,7371.0,12.0,94.4560775756836,,,,,9.0,15853.208636704,59.3827929255711,7.99709612160662,8.9,-1.24264933545442,1693375.0,5.0,0.845,100.0,100.0,100.0,5360.50343468088,12.0843139422512
BHR,2023,89.91000366210938,1.88778167912993,93.8998953080421,104.392938701638,100.0,3719.0,4680.0,12.0,88.56187958298,100.0,100.0,100.0,100.0,9.0,29290.1284215098,1971.32375,-4.28437217979031,12.46,,0.0,7.2,0.899,100.0,100.0,100.0,0.0,
BHS,2023,99.0614358584651,2.74191570247934,78.3931934355663,87.1455240465819,,4234.0,4365.0,12.0,,,,,,12.0,38231.774484278,39.9040959040959,6.64011757419027,10.852,0.470209773448896,74610.0,11.4,0.82,100.0,100.0,100.0,,
BIH,2023,91.3951215520506,3.24564826597779,101.194877624512,87.8663787841797,,738.0,2195.0,9.0,100.520736694336,,,,,9.0,8663.02326458629,62.20845703125,7.29122831094762,7.714,-1.73482098987922,1542667.0,5.3,0.804,100.0,100.0,100.0,3676.52483946208,8.67989257517029
BLR,2023,99.8727964322377,4.9514799118042,95.2183631035768,97.4265999006565,100.0,14689.0,11182.0,11.0,94.4563997400778,99.92905285562256,100.0,99.96044303797468,100.0,11.0,7896.75388295584,45.217077292187,8.04676215128896,7.136,-2.1393067520383,1944455.0,1.9,0.824,100.0,100.0,100.0,,
BLZ,2023,,4.23143005371094,97.7874461619187,83.619553808705,,2377.0,2945.0,8.0,96.5262582056893,,,,,8.0,7424.75821321022,18.0230600613766,6.6945920915479,18.025,2.3880921854408,238664.0,10.8,0.721,99.6,99.4,99.8,,
BMU,2023,,1.86510440752276,92.8512496948242,74.3967514038086,,,,13.0,,,,,,13.0,132604.439086216,1198.11111111111,3.84503523133317,8.046,,0.0,,,100.0,100.0,100.0,,
BOL,2023,71.2328109741211,8.31589071412357,98.5726894625786,91.3676827044767,,27126.0,31471.0,12.0,96.2025910226778,,,,,12.0,4274.70820547613,11.3026483891812,0.189137413602765,21.247,0.415638967378448,3561196.0,20.0,0.733,99.8,99.6,99.9,,
BRA,2023,85.2,,,,,,,12.0,,,,,,12.0,10377.5897719195,25.2616884857157,5.15950107501996,12.322,-1.73253623567032,26147729.0,12.5,0.786,99.8,99.0,99.9,2916.48609397384,12.8811085094236
BRB,2023,,3.7754499912262,88.0075687838805,102.513702392578,100.0,1437.0,1395.0,11.0,92.1521279806822,,100.0,,100.0,11.0,25583.878782727,656.595348837209,1.94338334616333,11.173,-0.164840233912927,114562.0,9.3,0.811,100.0,100.0,100.0,,
BRN,2023,91.3909400409159,,96.9292188716198,91.8381544399811,,,,,101.681320376369,,,,,9.0,32890.5491812019,87.0870967741936,-12.8472517283232,13.59,0.613661271050268,115564.0,8.2,0.837,100.0,100.0,100.0,,
BTN,2023,,5.84519004821777,106.687397950258,86.8564415582911,100.0,2949.00020980835,6855.99920272827,11.0,,76.71957671957672,99.20634920634922,100.0,100.0,0.0,3831.32535494609,20.6183796539067,4.40359357659746,12.663,-0.663464181336079,458185.0,18.5,0.698,100.0,100.0,100.0,,
BWA,2023,81.23590850830078,,,,,,,,,,,,,0.0,7826.35376483298,4.37641204806522,1.7390038592787,24.713,0.337998271750929,817953.0,38.2,0.731,76.0,25.0,97.7,,
CAF,2023,,1.82995911310419,,,,,,13.0,,,,,,10.0,495.978897288721,8.27060419275097,3.57480169810107,46.358,0.312252638155548,2900897.0,60.4,,17.6,2.3,37.4,,
CAN,2023,96.3000913076763,,94.9523391723633,104.287643432617,,61693.0,67528.0,12.0,,,,,,10.0,54220.3285039875,4.56079784268436,1.3572659269347,8.8,1.90841913698121,7004566.0,4.4,0.939,100.0,100.0,100.0,14459.8957515769,7.84036499146837
CHE,2023,99.6536888771555,,102.282958984375,102.965591430664,,,,13.0,96.9121017456055,,,,,10.0,100623.549627296,224.960167938804,0.896277329147281,9.0,-0.506596366223382,1316842.0,3.5,,100.0,100.0,100.0,7096.91043961849,32.7690658093571
