country_code,year,edu_educational_attainment_rate,edu_public_expenditure_education,edu_school_enrollment_primary,edu_school_enrollment_secondary,edu_out_of_school_children_female,edu_out_of_school_children_male,edu_years_free_primary_secondary,edu_primary_completion_rate,edu_years_compulsory_education,des_gdp_per_capita,des_densidad_poblacion,des_deflactor_inflacion_gdp,des_tasa_natalidad,des_crecimiento_poblacion_rural,des_poblacion_rural,des_tasa_mortalidad_infantil,elec_electricity_access_total,elec_electricity_access_rural,elec_electricity_access_urban
ABW,2023,96.48063659667967,3.61855755636695,102.620727539062,131.802169799805,15227.0,15910.06148859165,11.0,93.8329391479492,11.0,35718.7531191634,596.438888888889,7.10903726756209,7.973,0.166100822282021,40973.0,13.3,100.0,100.0,100.0
AFG,2023,21.02548027038574,4.34319019317627,109.075309753418,57.3578491210938,957969.0,635040.0,12.0,88.8901214599609,9.0,413.757894705303,63.5585008355948,2.92366213121669,35.437,2.02947825567516,30894968.0,50.4,85.3,81.4,96.0
AGO,2023,43.40515899658203,2.51273663315785,86.7353918783767,51.4839046246776,1142017.0,1139895.0,9.0,47.8556786596463,9.0,2916.13663284275,29.4777460495709,17.9292334566891,37.588,0.458858798452888,11079544.0,38.3,51.1,7.3,77.9
ALB,2023,99.27999877929688,3.09153008460998,93.7138120137738,96.1368771236947,10813.0,6226.0,12.0,95.1351520460518,9.0,9730.86921906893,100.21795620438,5.73390704564409,10.244,-2.36825837676933,1008836.0,8.3,100.0,100.0,100.0
AND,2023,99.1500015258789,1.89867997169495,97.4446725986767,99.5086517333984,172.0,134.0,10.0,69.4174757281553,10.0,46812.4261013102,172.034042553191,6.29560082401824,6.859,0.855418202886056,9040.0,2.5,100.0,100.0,100.0
ARE,2023,93.79000091552734,3.89403009414673,106.259950303562,101.944972436447,312.0,607.0,12.0,99.1737916980463,12.0,49850.6872175164,147.616882568291,-2.02054900725329,9.774,2.91298761379646,1502524.0,4.0,100.0,100.0,100.0
ARG,2023,89.97000122070312,5.89754023690244,102.535244031037,105.574584297051,79103.0,114426.0,12.0,98.9436486948575,12.0,14261.8465667948,16.6399559321662,136.742358437599,11.064,-0.753967093261385,3554494.0,8.2,100.0,100.0,100.0
ARM,2023,99.6526870727539,2.43869996070862,98.0899878191202,89.4111027634947,3891.0,1698.0,12.0,94.3309098054628,12.0,8159.08720967996,105.119108748259,3.10027629995311,12.3,-0.552810244518958,1016883.0,8.9,100.0,100.0,100.0
ATG,2023,99.3842820562061,3.10505161832136,112.255406797116,108.880778588808,60.0,45.0,11.0,123.354735152488,11.0,21494.5474000727,212.081818181818,4.91194084907252,11.848,0.591818719338182,70500.0,7.3,100.0,100.0,100.0
AUS,2023,99.4919273180723,5.05916023254395,99.3657531738281,134.099243164062,1110.0,3609.0,13.0,94.6245816835048,11.0,65058.3773146674,3.46499060064846,6.45944110641071,10.8,1.22420601665896,3336037.0,3.1,100.0,100.0,100.0
