;Table 2. Human Development Index trends, 1990-2023;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;HDI: Human Development Index (HDI);;;;;;;;;;;;;;;;Change in HDI rank;;Average annual HDI growth;;;;;;;
;;Value;;;;;;;;;;;;;;;;;;(%);;;;;;;
HDI rank;Country;1990;;2000;;2010;;2015;;2020;;2021;;2022;;2023;; 2015-2023;a;1990-2000;;2000-2010;;2010-2023;;1990-2023;
;Very high human development;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Iceland;0,841;;0,902;;0,935;;0,956;;0,965;;0,967;;0,964;;0,972;;2;;0,70;;0,36;;0,30;;0,44;
2;Norway;0,856;;0,924;;0,947;;0,959;;0,969;;0,969;;0,967;;0,970;;-1;;0,77;;0,25;;0,18;;0,38;
2;Switzerland;0,858;;0,892;;0,945;;0,957;;0,963;;0,968;;0,966;;0,970;;0;;0,39;;0,58;;0,20;;0,37;
4;Denmark;0,844;;0,896;;0,920;;0,943;;0,954;;0,958;;0,959;;0,962;;2;;0,60;;0,26;;0,34;;0,40;
5;Germany;0,834;;0,897;;0,936;;0,948;;0,955;;0,958;;0,955;;0,959;;-1;;0,73;;0,43;;0,19;;0,42;
5;Sweden;0,818;;0,912;;0,918;;0,945;;0,951;;0,958;;0,959;;0,959;;0;;1,09;;0,07;;0,34;;0,48;
7;Australia;0,867;;0,897;;0,929;;0,938;;0,950;;0,954;;0,952;;0,958;;1;;0,34;;0,35;;0,24;;0,30;
8;Hong Kong, China (SAR);0,755;;0,839;;0,912;;0,937;;0,950;;0,961;;0,950;;0,955;;2;;1,06;;0,84;;0,36;;0,71;
8;Netherlands;0,855;;0,900;;0,925;;0,940;;0,945;;0,951;;0,953;;0,955;;-1;;0,51;;0,27;;0,25;;0,34;
10;Belgium;0,824;;0,894;;0,921;;0,933;;0,939;;0,948;;0,945;;0,951;;3;;0,82;;0,30;;0,25;;0,44;
11;Ireland;0,776;;0,869;;0,915;;0,931;;0,948;;0,946;;0,947;;0,949;;4;;1,14;;0,52;;0,28;;0,61;
12;Finland;0,823;;0,898;;0,920;;0,938;;0,947;;0,949;;0,946;;0,948;;-4;;0,88;;0,24;;0,23;;0,43;
13;Singapore;0,819;;0,882;;0,932;;0,935;;0,944;;0,948;;0,942;;0,946;;-2;;0,74;;0,55;;0,11;;0,44;
13;United Kingdom;0,812;;0,870;;0,921;;0,931;;0,930;;0,941;;0,946;;0,946;;2;;0,69;;0,57;;0,21;;0,46;
15;United Arab Emirates;0,713;;0,790;;0,835;;0,857;;0,909;;0,903;;0,921;;0,940;;27;;1,03;;0,56;;0,92;;0,84;
16;Canada;0,865;;0,894;;0,918;;0,932;;0,931;;0,937;;0,935;;0,939;;-2;;0,33;;0,27;;0,17;;0,25;
17;Liechtenstein;..;;0,882;;0,914;;0,925;;0,929;;0,933;;0,936;;0,938;;1;;..;;0,36;;0,20;;..;
17;New Zealand;0,811;;0,896;;0,926;;0,934;;0,940;;0,939;;0,933;;0,938;;-5;;1,00;;0,33;;0,10;;0,44;
17;United States;0,878;;0,895;;0,919;;0,928;;0,925;;0,921;;0,930;;0,938;;0;;0,19;;0,26;;0,16;;0,20;
20;Korea (Republic of);0,738;;0,830;;0,894;;0,914;;0,928;;0,933;;0,928;;0,937;;1;;1,18;;0,75;;0,36;;0,73;
21;Slovenia;0,734;;0,829;;0,896;;0,909;;0,918;;0,924;;0,926;;0,931;;2;;1,22;;0,78;;0,30;;0,72;
22;Austria;0,832;;0,879;;0,912;;0,919;;0,925;;0,930;;0,927;;0,930;;-3;;0,55;;0,37;;0,15;;0,34;
23;Japan;0,853;;0,889;;0,907;;0,917;;0,922;;0,922;;0,921;;0,925;;-3;;0,41;;0,20;;0,15;;0,25;
24;Malta;0,735;;0,790;;0,867;;0,892;;0,903;;0,914;;0,917;;0,924;;5;;0,72;;0,93;;0,49;;0,70;
25;Luxembourg;0,787;;0,861;;0,909;;0,913;;0,916;;0,918;;0,922;;0,922;;-3;;0,90;;0,54;;0,11;;0,48;
26;France;0,798;;0,852;;0,888;;0,901;;0,909;;0,915;;0,916;;0,920;;-1;;0,66;;0,41;;0,27;;0,43;
27;Israel;0,787;;0,839;;0,889;;0,902;;0,912;;0,918;;0,921;;0,919;;-3;;0,64;;0,58;;0,26;;0,47;
28;Spain;0,766;;0,833;;0,875;;0,895;;0,901;;0,912;;0,911;;0,918;;0;;0,84;;0,49;;0,37;;0,55;
29;Czechia;0,753;;0,817;;0,880;;0,900;;0,898;;0,901;;0,911;;0,915;;-3;;0,82;;0,75;;0,30;;0,59;
29;Italy;0,787;;0,849;;0,887;;0,889;;0,899;;0,908;;0,905;;0,915;;1;;0,76;;0,44;;0,24;;0,46;
29;San Marino;..;;0,881;;0,905;;0,896;;0,895;;0,903;;0,910;;0,915;;-2;;..;;0,27;;0,08;;..;
32;Andorra;..;;0,825;;0,870;;0,869;;0,851;;0,871;;0,893;;0,913;;3;;..;;0,53;;0,37;;..;
32;Cyprus;0,749;;0,808;;0,869;;0,882;;0,905;;0,907;;0,908;;0,913;;1;;0,76;;0,73;;0,38;;0,60;
34;Greece;0,770;;0,828;;0,876;;0,888;;0,896;;0,897;;0,897;;0,908;;-3;;0,73;;0,57;;0,28;;0,50;
35;Poland;0,722;;0,801;;0,852;;0,879;;0,880;;0,884;;0,902;;0,906;;-1;;1,04;;0,62;;0,47;;0,69;
36;Estonia;0,738;;0,793;;0,868;;0,888;;0,901;;0,899;;0,902;;0,905;;-5;;0,72;;0,91;;0,32;;0,62;
37;Saudi Arabia;0,670;;0,737;;0,801;;0,851;;0,875;;0,878;;0,893;;0,900;;9;;0,96;;0,84;;0,90;;0,90;
38;Bahrain;0,734;;0,775;;0,810;;0,868;;0,885;;0,885;;0,902;;0,899;;-1;;0,55;;0,44;;0,81;;0,62;
39;Lithuania;0,745;;0,778;;0,854;;0,869;;0,888;;0,887;;0,888;;0,895;;-4;;0,43;;0,94;;0,36;;0,56;
40;Portugal;0,707;;0,797;;0,836;;0,857;;0,870;;0,876;;0,883;;0,890;;2;;1,21;;0,48;;0,48;;0,70;
41;Croatia;..;;0,769;;0,831;;0,852;;0,867;;0,876;;0,886;;0,889;;4;;..;;0,78;;0,52;;..;
41;Latvia;0,736;;0,764;;0,833;;0,859;;0,879;;0,871;;0,881;;0,889;;-1;;0,37;;0,87;;0,50;;0,57;
43;Qatar;0,767;;0,795;;0,834;;0,860;;0,872;;0,866;;0,883;;0,886;;-4;;0,36;;0,48;;0,47;;0,44;
44;Slovakia;0,698;;0,774;;0,851;;0,861;;0,867;;0,859;;0,873;;0,880;;-6;;1,04;;0,95;;0,26;;0,70;
45;Chile;0,718;;0,771;;0,823;;0,855;;0,856;;0,865;;0,869;;0,878;;-1;;0,71;;0,65;;0,50;;0,61;
46;Hungary;0,730;;0,781;;0,838;;0,847;;0,857;;0,852;;0,867;;0,870;;1;;0,68;;0,71;;0,29;;0,53;
47;Argentina;0,733;;0,789;;0,844;;0,859;;0,851;;0,847;;0,858;;0,865;;-7;;0,74;;0,68;;0,19;;0,50;
48;Montenegro;..;;..;;0,815;;0,839;;0,841;;0,840;;0,853;;0,862;;0;;..;;..;;0,43;;..;
