iso_code,year,value
AFG,1990,0.285
AFG,2000,0.351
AFG,2010,0.465
AFG,2015,0.496
AFG,2020,0.501
AFG,2021,0.486
AFG,2022,0.495
AFG,2023,0.496
AGO,2000,0.391
AGO,2010,0.528
AGO,2015,0.603
AGO,2020,0.61
AGO,2021,0.609
AGO,2022,0.615
AGO,2023,0.616
ALB,1990,0.654
ALB,2000,0.682
ALB,2010,0.769
ALB,2015,0.797
ALB,2020,0.794
ALB,2021,0.794
ALB,2022,0.806
ALB,2023,0.81
AND,2000,0.825
AND,2010,0.87
AND,2015,0.869
AND,2020,0.851
AND,2021,0.871
AND,2022,0.893
AND,2023,0.913
ARE,1990,0.713
ARE,2000,0.79
ARE,2010,0.835
ARE,2015,0.857
ARE,2020,0.909
ARE,2021,0.903
ARE,2022,0.921
ARE,2023,0.94
ARG,1990,0.733
ARG,2000,0.789
ARG,2010,0.844
ARG,2015,0.859
ARG,2020,0.851
ARG,2021,0.847
ARG,2022,0.858
ARG,2023,0.865
ARM,1990,0.663
ARM,2000,0.667
ARM,2010,0.747
ARM,2015,0.777
ARM,2020,0.761
ARM,2021,0.786
ARM,2022,0.801
ARM,2023,0.811
ATG,2010,0.828
ATG,2015,0.839
ATG,2020,0.84
ATG,2021,0.843
ATG,2022,0.848
ATG,2023,0.851
AUS,1990,0.867
AUS,2000,0.897
AUS,2010,0.929
AUS,2015,0.938
AUS,2020,0.95
AUS,2021,0.954
AUS,2022,0.952
AUS,2023,0.958
AUT,1990,0.832
AUT,2000,0.879
AUT,2010,0.912
AUT,2015,0.919
AUT,2020,0.925
AUT,2021,0.93
AUT,2022,0.927
AUT,2023,0.93
AZE,2000,0.652
AZE,2010,0.744
AZE,2015,0.771
AZE,2020,0.757
AZE,2021,0.765
AZE,2022,0.784
AZE,2023,0.789
BDI,1990,0.294
BDI,2000,0.308
BDI,2010,0.416
BDI,2015,0.432
BDI,2020,0.435
BDI,2021,0.435
BDI,2022,0.437
BDI,2023,0.439
BEL,1990,0.824
BEL,2000,0.894
BEL,2010,0.921
BEL,2015,0.933
BEL,2020,0.939
BEL,2021,0.948
BEL,2022,0.945
BEL,2023,0.951
BEN,1990,0.351
BEN,2000,0.415
BEN,2010,0.485
BEN,2015,0.511
BEN,2020,0.504
BEN,2021,0.506
BEN,2022,0.512
BEN,2023,0.515
BFA,2010,0.377
BFA,2015,0.419
BFA,2020,0.453
BFA,2021,0.454
BFA,2022,0.457
BFA,2023,0.459
BGD,1990,0.397
BGD,2000,0.477
BGD,2010,0.561
BGD,2015,0.621
BGD,2020,0.663
BGD,2021,0.663
BGD,2022,0.68
BGD,2023,0.685
BGR,1990,0.706
BGR,2000,0.733
BGR,2010,0.799
BGR,2015,0.824
BGR,2020,0.826
BGR,2021,0.817
BGR,2022,0.835
BGR,2023,0.845
BHR,1990,0.734
BHR,2000,0.775
BHR,2010,0.81
BHR,2015,0.868
BHR,2020,0.885
BHR,2021,0.885
BHR,2022,0.902
BHR,2023,0.899
BHS,1990,0.762
BHS,2000,0.787
BHS,2010,0.801
BHS,2015,0.807
BHS,2020,0.797
BHS,2021,0.794
BHS,2022,0.818
BHS,2023,0.82
BIH,2000,0.674
BIH,2010,0.725
BIH,2015,0.769
BIH,2020,0.783
BIH,2021,0.783
BIH,2022,0.799
BIH,2023,0.804
BLR,2000,0.724
BLR,2010,0.803
BLR,2015,0.825
BLR,2020,0.815
BLR,2021,0.817
BLR,2022,0.824
BLR,2023,0.824
BLZ,1990,0.617
BLZ,2000,0.671
BLZ,2010,0.727
BLZ,2015,0.721
BLZ,2020,0.713
BLZ,2021,0.713
BLZ,2022,0.717
BLZ,2023,0.721
BOL,1990,0.552
BOL,2000,0.63
BOL,2010,0.677
BOL,2015,0.704
BOL,2020,0.697
BOL,2021,0.693
BOL,2022,0.727
BOL,2023,0.733
BRA,1990,0.641
BRA,2000,0.69
BRA,2010,0.748
BRA,2015,0.764
BRA,2020,0.77
BRA,2021,0.768
BRA,2022,0.78
BRA,2023,0.786
BRB,1990,0.73
BRB,2000,0.762
BRB,2010,0.797
BRB,2015,0.8
BRB,2020,0.803
BRB,2021,0.803
BRB,2022,0.807
BRB,2023,0.811
BRN,1990,0.781
BRN,2000,0.792
BRN,2010,0.83
BRN,2015,0.839
BRN,2020,0.836
BRN,2021,0.835
BRN,2022,0.825
BRN,2023,0.837
BTN,2010,0.593
BTN,2015,0.637
BTN,2020,0.688
BTN,2021,0.691
BTN,2022,0.695
BTN,2023,0.698
BWA,1990,0.59
BWA,2000,0.594
BWA,2010,0.652
BWA,2015,0.69
BWA,2020,0.718
BWA,2021,0.7
BWA,2022,0.729
BWA,2023,0.731
CAN,1990,0.865
CAN,2000,0.894
CAN,2010,0.918
CAN,2015,0.932
CAN,2020,0.931
CAN,2021,0.937
CAN,2022,0.935
CAN,2023,0.939
CHL,1990,0.718
CHL,2000,0.771
CHL,2010,0.823
CHL,2015,0.855
CHL,2020,0.856
CHL,2021,0.865
CHL,2022,0.869
CHL,2023,0.878
CHN,1990,0.491
CHN,2000,0.598
CHN,2010,0.71
CHN,2015,0.75
CHN,2020,0.786
CHN,2021,0.794
CHN,2022,0.796
CHN,2023,0.797
CIV,1990,0.389
CIV,2000,0.419
CIV,2010,0.465
CIV,2015,0.519
CIV,2020,0.553
CIV,2021,0.557
CIV,2022,0.565
CIV,2023,0.582
CMR,1990,0.448
CMR,2000,0.439
