indicatorId;geoUnit;year;value;qualifier;magnitude
SCHBSP.2.WELEC;ABW;2010;100;;
SCHBSP.2.WELEC;ABW;2024;100;;
SCHBSP.2.WELEC;AFG;2016;16.54297065734863;;
SCHBSP.2.WELEC;AFG;2017;17.33871078491211;;
SCHBSP.2.WELEC;AFG;2018;19.41748046875;;
SCHBSP.2.WELEC;AFG;2019;20.49411964416504;;
SCHBSP.2.WELEC;AGO;2016;65.32618409294012;;
SCHBSP.2.WELEC;AIA;2010;100;;
SCHBSP.2.WELEC;AIA;2019;100;;
SCHBSP.2.WELEC;AIA;2020;100;;
SCHBSP.2.WELEC;AIA;2021;100;;
SCHBSP.2.WELEC;AIA;2022;100;;
SCHBSP.2.WELEC;AIA;2023;100;;
SCHBSP.2.WELEC;AIA;2024;100;;
SCHBSP.2.WELEC;AIA;2025;100;;
SCHBSP.2.WELEC;AIMS: Asia and the Pacific;2011;68.37045288085938;UIS_EST;
SCHBSP.2.WELEC;AIMS: Asia and the Pacific;2012;68.30924224853516;;
SCHBSP.2.WELEC;AIMS: Asia and the Pacific;2013;69.04736328125;UIS_EST;
SCHBSP.2.WELEC;AIMS: Asia and the Pacific;2014;69.91761016845703;UIS_EST;
SCHBSP.2.WELEC;AIMS: Asia and the Pacific;2015;70.90437316894531;UIS_EST;
SCHBSP.2.WELEC;AIMS: Asia and the Pacific;2016;72.01162719726562;;
SCHBSP.2.WELEC;AIMS: Asia and the Pacific;2017;73.45632934570312;;
SCHBSP.2.WELEC;AIMS: Asia and the Pacific;2018;75.12261962890625;;
SCHBSP.2.WELEC;AIMS: Asia and the Pacific;2019;81.24017333984375;;
SCHBSP.2.WELEC;AIMS: Asia and the Pacific;2020;86.32498168945312;;
SCHBSP.2.WELEC;AIMS: Asia and the Pacific;2021;86.39321899414062;;
SCHBSP.2.WELEC;AIMS: Asia and the Pacific;2022;88.81670379638672;;
SCHBSP.2.WELEC;AIMS: Asia and the Pacific;2023;89.5190200805664;;
SCHBSP.2.WELEC;AIMS: Asia and the Pacific;2024;89.55442810058594;;
SCHBSP.2.WELEC;AIMS: Central Asia;2016;99.84691619873047;UIS_EST;
SCHBSP.2.WELEC;AIMS: Central Asia;2017;99.86913299560547;;
SCHBSP.2.WELEC;AIMS: Central Asia;2018;99.89189147949219;;
SCHBSP.2.WELEC;AIMS: Central Asia;2019;99.91368103027344;;
SCHBSP.2.WELEC;AIMS: Central Asia;2020;99.93572235107422;;
SCHBSP.2.WELEC;AIMS: Central Asia;2021;99.9572982788086;UIS_EST;
SCHBSP.2.WELEC;AIMS: Central Asia;2022;99.97872924804688;UIS_EST;
SCHBSP.2.WELEC;AIMS: Central Asia;2023;100;UIS_EST;
SCHBSP.2.WELEC;AIMS: Central Asia;2024;100;UIS_EST;
SCHBSP.2.WELEC;AIMS: East Asia;2011;92.51744079589844;UIS_EST;
SCHBSP.2.WELEC;AIMS: East Asia;2012;92.64515686035156;UIS_EST;
SCHBSP.2.WELEC;AIMS: East Asia;2013;93.22731018066406;UIS_EST;
SCHBSP.2.WELEC;AIMS: East Asia;2014;94.00527954101562;UIS_EST;
SCHBSP.2.WELEC;AIMS: East Asia;2015;94.95851135253906;UIS_EST;
SCHBSP.2.WELEC;AIMS: East Asia;2016;96.00730895996094;UIS_EST;
SCHBSP.2.WELEC;AIMS: East Asia;2017;95.97248077392578;;
SCHBSP.2.WELEC;AIMS: East Asia;2018;96.46833801269531;;
SCHBSP.2.WELEC;AIMS: East Asia;2019;96.74874877929688;UIS_EST;
SCHBSP.2.WELEC;AIMS: East Asia;2020;96.99909210205078;UIS_EST;
SCHBSP.2.WELEC;AIMS: East Asia;2021;96.92574310302734;UIS_EST;
SCHBSP.2.WELEC;AIMS: East Asia;2022;97.13091278076172;UIS_EST;
SCHBSP.2.WELEC;AIMS: East Asia;2023;97.34385681152344;;
SCHBSP.2.WELEC;AIMS: East Asia;2024;97.4098892211914;;
SCHBSP.2.WELEC;AIMS: East Asia and the Pacific;2011;92.94660186767578;UIS_EST;
SCHBSP.2.WELEC;AIMS: East Asia and the Pacific;2012;93.06397247314453;UIS_EST;
SCHBSP.2.WELEC;AIMS: East Asia and the Pacific;2013;93.58907318115234;UIS_EST;
SCHBSP.2.WELEC;AIMS: East Asia and the Pacific;2014;94.30162048339844;UIS_EST;
SCHBSP.2.WELEC;AIMS: East Asia and the Pacific;2015;95.18256378173828;UIS_EST;
SCHBSP.2.WELEC;AIMS: East Asia and the Pacific;2016;96.1569595336914;UIS_EST;
SCHBSP.2.WELEC;AIMS: East Asia and the Pacific;2017;96.09709167480469;;
SCHBSP.2.WELEC;AIMS: East Asia and the Pacific;2018;96.55462646484375;;
SCHBSP.2.WELEC;AIMS: East Asia and the Pacific;2019;96.8189468383789;UIS_EST;
SCHBSP.2.WELEC;AIMS: East Asia and the Pacific;2020;97.03800201416016;UIS_EST;
SCHBSP.2.WELEC;AIMS: East Asia and the Pacific;2021;96.98928833007812;UIS_EST;
SCHBSP.2.WELEC;AIMS: East Asia and the Pacific;2022;97.20575714111328;UIS_EST;
SCHBSP.2.WELEC;AIMS: East Asia and the Pacific;2023;97.40927124023438;;
SCHBSP.2.WELEC;AIMS: East Asia and the Pacific;2024;97.46939086914062;;
SCHBSP.2.WELEC;AIMS: Pacific;2000;98.37550354003906;;
SCHBSP.2.WELEC;AIMS: Pacific;2001;98.37460327148438;;
SCHBSP.2.WELEC;AIMS: Pacific;2002;98.37570190429688;;
SCHBSP.2.WELEC;AIMS: Pacific;2003;98.37579345703125;;
SCHBSP.2.WELEC;AIMS: Pacific;2004;98.3773193359375;;
SCHBSP.2.WELEC;AIMS: Pacific;2005;98.37830352783203;;
SCHBSP.2.WELEC;AIMS: Pacific;2006;98.37825775146484;;
SCHBSP.2.WELEC;AIMS: Pacific;2007;98.37640380859375;;
SCHBSP.2.WELEC;AIMS: Pacific;2008;98.37567138671875;;
SCHBSP.2.WELEC;AIMS: Pacific;2009;98.37545013427734;;
SCHBSP.2.WELEC;AIMS: Pacific;2010;98.3861312866211;;
SCHBSP.2.WELEC;AIMS: Pacific;2011;98.37389373779297;;
SCHBSP.2.WELEC;AIMS: Pacific;2012;98.35958099365234;;
SCHBSP.2.WELEC;AIMS: Pacific;2013;98.35198211669922;;
SCHBSP.2.WELEC;AIMS: Pacific;2014;98.34696960449219;;
SCHBSP.2.WELEC;AIMS: Pacific;2015;98.34362030029297;;
SCHBSP.2.WELEC;AIMS: Pacific;2016;98.33989715576172;;
