Data Source;Indicadores del desarrollo mundial;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Last Updated Date;2026-01-28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Country Name;Country Code;Indicator Name;Indicator Code;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;
Aruba;ABW;Niños que no asisten a la escuela, nivel primario, varones;SE.PRM.UNER.MA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;AFE;Niños que no asisten a la escuela, nivel primario, varones;SE.PRM.UNER.MA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Afganistán;AFG;Niños que no asisten a la escuela, nivel primario, varones;SE.PRM.UNER.MA;;;;;;;;;;;;;;;528840;;;;;;;;;;;;;;;;;;;635040;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;AFW;Niños que no asisten a la escuela, nivel primario, varones;SE.PRM.UNER.MA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Angola;AGO;Niños que no asisten a la escuela, nivel primario, varones;SE.PRM.UNER.MA;;;;;;;;;;;;;;;;;;;;;;;213225;233994;;;;;;;;;;;;;;;420031;;;;;;;;;;91362;116894;85083;39402;;;;;;;;;;;;1139895;;
Albania;ALB;Niños que no asisten a la escuela, nivel primario, varones;SE.PRM.UNER.MA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;130;3715;;;;7271;6742;7639;5162;3225;3006;;;;;;;3681;3695;4758;6226;;
Andorra;AND;Niños que no asisten a la escuela, nivel primario, varones;SE.PRM.UNER.MA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;226;209;168;163;129;127;186;146;134;;41;
El mundo árabe;ARB;Niños que no asisten a la escuela, nivel primario, varones;SE.PRM.UNER.MA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Emiratos Árabes Unidos;ARE;Niños que no asisten a la escuela, nivel primario, varones;SE.PRM.UNER.MA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1968;10033;;;;;;;;;;;;2053;697;1;564;2438;607;;
Argentina;ARG;Niños que no asisten a la escuela, nivel primario, varones;SE.PRM.UNER.MA;;;;;;;;;;;100358;;;;48405;55920;;;;;;;;;;;;;;;;114426;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Armenia;ARM;Niños que no asisten a la escuela, nivel primario, varones;SE.PRM.UNER.MA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4700;3321;;3257;1584;;;;;2400;2842;3385;5331;4694;5003;4869;5717;6746;7086;5097;3144;1698;;
Samoa Americana;ASM;Niños que no asisten a la escuela, nivel primario, varones;SE.PRM.UNER.MA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Antigua y Barbuda;ATG;Niños que no asisten a la escuela, nivel primario, varones;SE.PRM.UNER.MA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;247;45;;;;;;;;;;;
Australia;AUS;Niños que no asisten a la escuela, nivel primario, varones;SE.PRM.UNER.MA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47841;8088;;16588;13978;8489;7176;;;;;30270;27116;;;;;;3085;3645;8118;5729;4640;3609;;
Austria;AUT;Niños que no asisten a la escuela, nivel primario, varones;SE.PRM.UNER.MA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3777;3255;3647;3820;3220;3253;3051;2218;2167;2430;2021;3533;2986;2126;1856;2141;3226;1967;1929;1855;1864;1441;2817;2629;;
Azerbaiyán;AZE;Niños que no asisten a la escuela, nivel primario, varones;SE.PRM.UNER.MA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29822;38105;37274;36573;34765;31950;28984;36402;36214;30733;33168;25498;18185;185;;;;8613;12764;34346;33109;26875;12748;3747;71;
Burundi;BDI;Niños que no asisten a la escuela, nivel primario, varones;SE.PRM.UNER.MA;;;;;;;;;;;;;;222587;;;;;268682;;278585;278636;269515;252971;241888;232281;230212;221044;222401;;;;;271043;;;;;;;321261;267818;256552;241722;245604;226157;128407;84803;42190;66765;47464.9864501953;48169.992980957;59385.9857177734;93972.0112915039;90099.9925537111;113109.02130127;133784.026977539;180752.024902344;216440.995727539;244756.994750977;248925.998535156;;;;;
Bélgica;BEL;Niños que no asisten a la escuela, nivel primario, varones;SE.PRM.UNER.MA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7034;;;;2534;2483;2989;3593;4080;4544;4751;7804;7002;6728;6873;7138;7606;5621;5528;5578;5029;6030;4898;6672;;
Benin;BEN;Niños que no asisten a la escuela, nivel primario, varones;SE.PRM.UNER.MA;;;;;;;;;;;;;;;;;;;;;;;;;136605;137207;152706;;168673;174235;233812;;194040;178293;183851;177022;172982;160820;;;;;;;;;86234;;72189;32849;26060;18403;;;;;;42055;74178;119945;131313;101191;77007;;;
Burkina Faso;BFA;Niños que no asisten a la escuela, nivel primario, varones;SE.PRM.UNER.MA;;;;;;;;;;;;367427;375460;;;;;414592;422240;430242;437334;443144;446266;453527;458688;460531;465468;471495;488085;506987;;540238;554795;564684;570633;571405;;;586623;595335;595465;597764;625092;613648;607799;568390;544211;498158;445316;428458;522039;480403;489570;499426;502655;502149;433522;436909;416556;458876;530908;558850;637776;847639;703431;
Bangladesh;BGD;Niños que no asisten a la escuela, nivel primario, varones;SE.PRM.UNER.MA;;;;;;;;;;;1789896;;;605207;;;196650;850454;1024260;;;1925246;;1981028;2359514;2493286;2594123;2695299;2229014;2303120;2213168;;;;;;;;;;;;;;;764152;875089;;1241532;1470568;1284442;;;;;;;481700;354030;;;;;;;
Bulgaria;BGR;Niños que no asisten a la escuela, nivel primario, varones;SE.PRM.UNER.MA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1188;1762;;;;;;;;1580;1240;2210;3380;5193;5150;4725;5146;5489;5984;5762;5612;6442;6688;7371;;
Bahrein;BHR;Niños que no asisten a la escuela, nivel primario, varones;SE.PRM.UNER.MA;;;;;;;;;;;;5842;6263;6602;5925;4642;4414;3536;3656;3723;4075;5278;6053;5875;5429;4589;3048;3409;2391;2398;;3820;5959;5871;6037;5529;5140;5016;3791;2969;4046;3825;4221;5038;4649;4408;2170;;;;;3523;474;;;1130;1224;1346;1925;2068;;;2169;4680;3489;
Bahamas;BHS;Niños que no asisten a la escuela, nivel primario, varones;SE.PRM.UNER.MA;;;;;;;;;;;;;;;;;1457;1458;;;1141;;;;;;;;;;;;;158;;;;;;2579;;;;;2489;1753;1906;1198;887;1518;1357;;745;;;;;;;;;;;4365;2266;
Bosnia y Herzegovina;BIH;Niños que no asisten a la escuela, nivel primario, varones;SE.PRM.UNER.MA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12075;11698;10909;11784;11240;9858;7933;4894;2406;;;2165;2094;1706;2195;;
Belarús;BLR;Niños que no asisten a la escuela, nivel primario, varones;SE.PRM.UNER.MA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;40998;;;;;;;;;;;;;;;;;;1198;1822;3108;3787;4618;6491;8478;9840;10591;8769;11182;8421;
Belice;BLZ;Niños que no asisten a la escuela, nivel primario, varones;SE.PRM.UNER.MA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;621;612;670;;;;;;;225;365;459;286;;;;;;;;;;1059;1967;2945;2636;
Bermudas;BMU;Niños que no asisten a la escuela, nivel primario, varones;SE.PRM.UNER.MA;;;;;;;;;;;;;;;;;;;567;592;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;103;;;;;;;;;;;;;
Bolivia;BOL;Niños que no asisten a la escuela, nivel primario, varones;SE.PRM.UNER.MA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11340;31303;49292;69026;73337;76804;77225;72984;62511;51077;43184;37699;31479;26027;31471;;
Brasil;BRA;Niños que no asisten a la escuela, nivel primario, varones;SE.PRM.UNER.MA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;495995;297627;279379;337851;329821;358763;397177;321681;272499;359874;319994;;;
Barbados;BRB;Niños que no asisten a la escuela, nivel primario, varones;SE.PRM.UNER.MA;;;;;;;;;;;;2162;1761;2069;;;2067;1442;846;582;;;;;;;;;;184;368;;1076;;;;;;;;;;;;;277;126;263;233;441;212;107;;;559;509;482;718;689;622;749;892;1173;1395;1761;
Brunei Darussalam;BRN;Niños que no asisten a la escuela, nivel primario, varones;SE.PRM.UNER.MA;;;;;;;;;;;;;;;;;;1572;1289;2475;2326;2888;3157;2908;2782;;2323;;;;;1388;1570;1415;1578;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bhután;BTN;Niños que no asisten a la escuela, nivel primario, varones;SE.PRM.UNER.MA;;;;;;;;;;;;;;;;;;;21794;21672;;;;;;;;;;;;;;;;;;;22027;22073;21591;20898;;;;16879;14233;;10852;8283;7081;6512;5571;6106;;6876;7103;7182;6167;;4603;9196.99992752075;6599.99968338014;6855.99920272827;5852.00009918214;
Botswana;BWA;Niños que no asisten a la escuela, nivel primario, varones;SE.PRM.UNER.MA;;;;;;;;;;;32458;34447;34905;35479;33714;30359;28177;25935;26060;26103;23749;19090;;16581;16533;14454;13632;14196;15181;14972;17041;14704;15938;17323;18281;32619;32228;;28464;29146;27606;24891;23727;22604;17769;18233;15411;16860;17877;17762;;;15793;18643;20817;;;;;;;;;;;
República Centroafricana;CAF;Niños que no asisten a la escuela, nivel primario, varones;SE.PRM.UNER.MA;;;;;;;;;;;;76261;73887;73090;;;;91554;91106;;;75358;65904;53588;;;50197;74915;83981;88452;70338;89849;;;;;;;;;;;;;;186292;189034;161321;131347;132276;118772;133961;128576;;;;;;;;;;;;;
Canadá;CAN;Niños que no asisten a la escuela, nivel primario, varones;SE.PRM.UNER.MA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8255;;;;;;;;;;;;8003;7239;4735;;9976;10532;13408;34881;40357;63136;69977;67528;;
Europa Central y del Báltico;CEB;Niños que no asisten a la escuela, nivel primario, varones;SE.PRM.UNER.MA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Suiza;CHE;Niños que no asisten a la escuela, nivel primario, varones;SE.PRM.UNER.MA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2336;3413;;;99;242;342;427;378;452;802;808;;;
Islas del Canal;CHI;Niños que no asisten a la escuela, nivel primario, varones;SE.PRM.UNER.MA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Chile;CHL;Niños que no asisten a la escuela, nivel primario, varones;SE.PRM.UNER.MA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;23315;21169;34893;24073;24888;23406;22990;19821;18009;16703;15476;12457;9833;13629;12692;4869;3563;;
China;CHN;Niños que no asisten a la escuela, nivel primario, varones;SE.PRM.UNER.MA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;641096;2588523;3178295;4028119;4491961;4922003;4692913;4641645;4336219;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Côte d'Ivoire;CIV;Niños que no asisten a la escuela, nivel primario, varones;SE.PRM.UNER.MA;;;;;;;;;;;;;;;;;;248894;;;;;;;;;;;;;;;;;;;595487;604571;;627488;648726;611379;611485;736017;;;;;;886635;;;;644512;537463;505444;380929;412339;351630;351707;326998;388760;390029;316365;313204;
Camerún;CMR;Niños que no asisten a la escuela, nivel primario, varones;SE.PRM.UNER.MA;;;;;;;;;;;;137934;150825;163452;186601;151564;153375;171446;169716;173298;180655;;;;;;;;177722;;194548;219251;;;;;;;;;;;;;;;;;;;;37600;;;;;;23958;;55869;;;;;;
Congo, República Democrática del;COD;Niños que no asisten a la escuela, nivel primario, varones;SE.PRM.UNER.MA;;;;;;;;;;;;244813;301294;;;335245;;;;319889;;;;344673;352515;;;;808018;;;1037161;1145366;1226690;1196992;833132;;;;2580650;;;;;;;;;;;;;;;;;;;;;;;;;;
Congo, República del;COG;Niños que no asisten a la escuela, nivel primario, varones;SE.PRM.UNER.MA;;;;;;;;;;;;;20495;;14376;;14511;;11083;10435;23780;24790;23519;22753;19322;;;;;;;;;;;;;;;;;;;;;154328;125588;;;;39588;;53609;;;;;;92494;;;;;87114;;
Colombia;COL;Niños que no asisten a la escuela, nivel primario, varones;SE.PRM.UNER.MA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;31627;86445;91899;;4587;;;;;;;;34710;;;75009;114789;90074;101669;111149;133436;148304;158138;;;
Comoras;COM;Niños que no asisten a la escuela, nivel primario, varones;SE.PRM.UNER.MA;;;;;;;;;;;;;;;;;;;;;;;;;;;;9411;;;;;;;13247;;;;;20881;17505;;;;;;;13487;;;;;;1501;2885;;;5444;7510;;;15216;;;11077;
Cabo Verde;CPV;Niños que no asisten a la escuela, nivel primario, varones;SE.PRM.UNER.MA;;;;;;;;;;;;;;;;;;;;;;5465;6360;7461;6400;5750;5497;5226;3907;;2930;;;;2278;;;;1578;;2067;2357;2213;1997;2664;2358;2339;2866;3079;3127;3127;2841;2148;2152;2029;1984;1979;1933;1491;1608;2110;1960;10087;;;
Costa Rica;CRI;Niños que no asisten a la escuela, nivel primario, varones;SE.PRM.UNER.MA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6027;9840;14583;20319;18945;17788;22758;14863;10367;11681;13579;12697;10267;;
