indicatorId;geoUnit;year;value;qualifier;magnitude
SCHBSP.2T3.WINTERN;ABW;2024;100;;
SCHBSP.2T3.WINTERN;AGO;2016;16.74671789945565;;
SCHBSP.2T3.WINTERN;AIA;2010;100;;
SCHBSP.2T3.WINTERN;AIA;2019;100;;
SCHBSP.2T3.WINTERN;AIA;2020;100;;
SCHBSP.2T3.WINTERN;AIA;2021;100;;
SCHBSP.2T3.WINTERN;AIA;2022;100;;
SCHBSP.2T3.WINTERN;AIA;2023;100;;
SCHBSP.2T3.WINTERN;AIA;2024;100;;
SCHBSP.2T3.WINTERN;AIA;2025;100;;
SCHBSP.2T3.WINTERN;ALB;2012;76.80371856689453;UIS_EST;
SCHBSP.2T3.WINTERN;ALB;2018;74.40217391304348;;
SCHBSP.2T3.WINTERN;ALB;2019;85.90033975084937;;
SCHBSP.2T3.WINTERN;ALB;2020;100;;
SCHBSP.2T3.WINTERN;ALB;2021;70.77844311377245;;
SCHBSP.2T3.WINTERN;ALB;2022;62.05443954467773;UIS_EST;
SCHBSP.2T3.WINTERN;AND;2016;100;;
SCHBSP.2T3.WINTERN;AND;2017;100;;
SCHBSP.2T3.WINTERN;AND;2018;100;;
SCHBSP.2T3.WINTERN;AND;2019;100;;
SCHBSP.2T3.WINTERN;AND;2020;100;;
SCHBSP.2T3.WINTERN;AND;2021;100;;
SCHBSP.2T3.WINTERN;AND;2022;100;;
SCHBSP.2T3.WINTERN;AND;2023;100;;
SCHBSP.2T3.WINTERN;AND;2024;100;;
SCHBSP.2T3.WINTERN;ARE;2012;96.80642700195312;UIS_EST;
SCHBSP.2T3.WINTERN;ARE;2015;95.27667236328125;UIS_EST;
SCHBSP.2T3.WINTERN;ARE;2018;100;;
SCHBSP.2T3.WINTERN;ARE;2019;100;;
SCHBSP.2T3.WINTERN;ARE;2020;100;;
SCHBSP.2T3.WINTERN;ARE;2021;100;;
SCHBSP.2T3.WINTERN;ARE;2022;100;;
SCHBSP.2T3.WINTERN;ARE;2023;100;;
SCHBSP.2T3.WINTERN;ARE;2024;100;;
SCHBSP.2T3.WINTERN;ARG;2009;36.46059036254883;;
SCHBSP.2T3.WINTERN;ARG;2012;61.27030181884766;UIS_EST;
SCHBSP.2T3.WINTERN;ARG;2015;56.00937610377934;;
SCHBSP.2T3.WINTERN;ARG;2016;55.51768752563981;;
SCHBSP.2T3.WINTERN;ARG;2017;54.86592912057004;;
SCHBSP.2T3.WINTERN;ARG;2018;55.204305731696;;
SCHBSP.2T3.WINTERN;ARG;2019;62.77752258459653;;
SCHBSP.2T3.WINTERN;ARG;2020;69.65155605200285;;
SCHBSP.2T3.WINTERN;ARG;2021;68.65593709687327;;
SCHBSP.2T3.WINTERN;ARG;2022;69.32658286108794;;
SCHBSP.2T3.WINTERN;ARG;2023;71.81093394077449;;
SCHBSP.2T3.WINTERN;ARM;2018;100;;
SCHBSP.2T3.WINTERN;ARM;2019;100;;
SCHBSP.2T3.WINTERN;ARM;2020;100;;
SCHBSP.2T3.WINTERN;ARM;2021;100;;
SCHBSP.2T3.WINTERN;ARM;2022;100;;
SCHBSP.2T3.WINTERN;ARM;2023;100;;
SCHBSP.2T3.WINTERN;ARM;2024;100;;
SCHBSP.2T3.WINTERN;ATG;2017;90.90908813476562;;
SCHBSP.2T3.WINTERN;ATG;2018;100;;
SCHBSP.2T3.WINTERN;AUS;2000;100;;
SCHBSP.2T3.WINTERN;AUS;2001;100;;
SCHBSP.2T3.WINTERN;AUS;2002;100;;
SCHBSP.2T3.WINTERN;AUS;2003;100;;
SCHBSP.2T3.WINTERN;AUS;2004;100;;
SCHBSP.2T3.WINTERN;AUS;2005;100;;
SCHBSP.2T3.WINTERN;AUS;2006;100;;
SCHBSP.2T3.WINTERN;AUS;2007;100;;
SCHBSP.2T3.WINTERN;AUS;2008;100;;
SCHBSP.2T3.WINTERN;AUS;2009;100;;
SCHBSP.2T3.WINTERN;AUS;2010;100;;
SCHBSP.2T3.WINTERN;AUS;2011;100;;
SCHBSP.2T3.WINTERN;AUS;2012;100;;
SCHBSP.2T3.WINTERN;AUS;2013;100;;
SCHBSP.2T3.WINTERN;AUS;2014;100;;
SCHBSP.2T3.WINTERN;AUS;2015;100;;
SCHBSP.2T3.WINTERN;AUS;2016;100;;
SCHBSP.2T3.WINTERN;AUS;2017;100;;
SCHBSP.2T3.WINTERN;AUS;2018;100;;
SCHBSP.2T3.WINTERN;AUS;2019;100;;
SCHBSP.2T3.WINTERN;AUS;2020;100;;
SCHBSP.2T3.WINTERN;AUS;2021;100;;
SCHBSP.2T3.WINTERN;AUS;2022;99.17694854736328;UIS_EST;
SCHBSP.2T3.WINTERN;AUT;2012;100;;
SCHBSP.2T3.WINTERN;AUT;2013;100;;
SCHBSP.2T3.WINTERN;AUT;2014;100;;
SCHBSP.2T3.WINTERN;AUT;2015;100;;
SCHBSP.2T3.WINTERN;AUT;2016;100;;
SCHBSP.2T3.WINTERN;AUT;2017;100;;
SCHBSP.2T3.WINTERN;AUT;2018;100;;
SCHBSP.2T3.WINTERN;AUT;2019;100;;
SCHBSP.2T3.WINTERN;AUT;2020;100;;
SCHBSP.2T3.WINTERN;AUT;2021;100;;
SCHBSP.2T3.WINTERN;AUT;2022;100;;
SCHBSP.2T3.WINTERN;AZE;2016;56.60707092285156;;
SCHBSP.2T3.WINTERN;AZE;2017;60.59954071044922;;
SCHBSP.2T3.WINTERN;AZE;2018;61.67921829223633;;
SCHBSP.2T3.WINTERN;AZE;2019;62.64282989501953;;
SCHBSP.2T3.WINTERN;AZE;2020;68.28253173828125;;
SCHBSP.2T3.WINTERN;AZE;2021;72.16937255859375;;
SCHBSP.2T3.WINTERN;AZE;2022;75.71581268310547;;
SCHBSP.2T3.WINTERN;AZE;2023;83.79827880859375;;
SCHBSP.2T3.WINTERN;AZE;2024;81.74334140435835;;
SCHBSP.2T3.WINTERN;BDI;2016;0.691085003455425;;
SCHBSP.2T3.WINTERN;BDI;2017;0.6968641114982579;;
SCHBSP.2T3.WINTERN;BDI;2018;0.3014772384684956;;
SCHBSP.2T3.WINTERN;BDI;2019;0.4329004329004329;;
SCHBSP.2T3.WINTERN;BEL;2012;100;;
SCHBSP.2T3.WINTERN;BEL;2013;100;;
SCHBSP.2T3.WINTERN;BEL;2014;100;;
SCHBSP.2T3.WINTERN;BEL;2015;100;;
