Data Source;World Development Indicators;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Last Updated Date;2026-01-28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Country Name;Country Code;Indicator Name;Indicator Code;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;
Aruba;ABW;Access to electricity, urban (% of urban population);EG.ELC.ACCS.UR.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100;99.9241333007813;99.966064453125;99.9903564453125;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;;
Africa Eastern and Southern;AFE;Access to electricity, urban (% of urban population);EG.ELC.ACCS.UR.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;53.5982008661558;53.1965384602742;55.3390329277599;56.3034760135244;57.0232382689171;58.1505238981035;58.7879108802774;60.8410995032168;59.0811217585484;61.4102723456832;63.0866942454594;66.0345031995136;66.7187412791239;66.9585998457052;66.0287951501836;67.1693975678267;69.1156725458506;70.9470358996273;71.8169384248205;72.9558440831328;74.3771181846498;75.8419966667537;76.2770144157384;79.9264730138008;;
Afghanistan;AFG;Access to electricity, urban (% of urban population);EG.ELC.ACCS.UR.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;73.4;74.8;76.1;77.5;78.8;74;81.6;83;89.9;85.9;82.8;86.6;95;92.2;98.7;92.5;99.5;99.5;98.8;99.5;99.5;99.5;95.9;96;;
Africa Western and Central;AFW;Access to electricity, urban (% of urban population);EG.ELC.ACCS.UR.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;77.2971404330408;77.2592734754187;77.0817879531929;74.8253472313771;74.2432019676355;74.7556587816979;74.5384175844776;73.128625456133;73.7566392160373;73.7701345835599;74.8013239273487;74.6249640199618;75.2344430341441;75.958795518056;77.3925829352924;76.7049324580219;76.5708828932986;74.7080305626766;80.1211814748111;79.4145535229389;79.2506569977447;80.2440977986693;78.4915333917588;81.9418294418069;82.8576473378014;80.3120939662804;82.6919249744351;83.2602961767518;86.7014823245156;86.7958782476897;84.8219339551761;;
Angola;AGO;Access to electricity, urban (% of urban population);EG.ELC.ACCS.UR.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;44.9;30;47.7;49;50.4;51.8;53.3;66.1;61.3;57.7;73.6;82.5;70.3;68.6;51;64;67.9;69.4;65.3;72.2;73.6;75;76.2;77.9;;
Albania;ALB;Access to electricity, urban (% of urban population);EG.ELC.ACCS.UR.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100;100;100;100;100;100;100;100;100;100;96.1;96.3;96.6;96.8;97.1;97.4;97.7;98;98.3;98.7;99.1;99.5;99.9;99.9;100;100;100;100;100;100;100;100;100;100;;
Andorra;AND;Access to electricity, urban (% of urban population);EG.ELC.ACCS.UR.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;;
Arab World;ARB;Access to electricity, urban (% of urban population);EG.ELC.ACCS.UR.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;94.16976359387;94.2093846665409;94.259311955628;94.4895983832777;94.670523631844;94.6006998254199;95.4175335604356;94.9987159567081;94.3647907610276;95.0324671578079;96.8920358260721;97.0653078449901;97.0688822843378;97.3334715778354;97.3107690162282;97.1641979505909;97.3085802293717;97.3733649794418;96.9339397365112;97.406238529904;97.4737649991653;97.525178378762;97.8655463384991;98.1464688805601;;
United Arab Emirates;ARE;Access to electricity, urban (% of urban population);EG.ELC.ACCS.UR.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;;
Argentina;ARG;Access to electricity, urban (% of urban population);EG.ELC.ACCS.UR.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;94.1390151977539;94.4131164550781;94.6866989135742;94.9571228027344;95.2212295532227;95.4758529663086;95.7178421020508;95.9440383911133;96.1512680053711;96.3380737304688;96.2;96.3;96.5;96.7;96.9;97.1;97.3;97.6;97.9;98.2;98.8;99.2;99.4;99.7;100;99.9;100;100;100;100;100;100;100;100;;
