Data Source;Indicadores del desarrollo mundial;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Last Updated Date;2025-10-07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Country Name;Country Code;Indicator Name;Indicator Code;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;
Aruba;ABW;Inversión en energía con participación privada (US$ a precios actuales);IE.PPI.ENGY.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;AFE;Inversión en energía con participación privada (US$ a precios actuales);IE.PPI.ENGY.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Afganistán;AFG;Inversión en energía con participación privada (US$ a precios actuales);IE.PPI.ENGY.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1580000;;;;;;;;;;;;;;19000000;;190490000;;;;;;
;AFW;Inversión en energía con participación privada (US$ a precios actuales);IE.PPI.ENGY.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;744250000;;
Angola;AGO;Inversión en energía con participación privada (US$ a precios actuales);IE.PPI.ENGY.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;45000000;;;9400000;;;120000000;;;;;;;;112000000;;;;;;;;
Albania;ALB;Inversión en energía con participación privada (US$ a precios actuales);IE.PPI.ENGY.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8000000;;;;;;;664000000;28000000;19560000;1504400000;19400000;177300000;;;;;;;;;187330000;;
Andorra;AND;Inversión en energía con participación privada (US$ a precios actuales);IE.PPI.ENGY.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
El mundo árabe;ARB;Inversión en energía con participación privada (US$ a precios actuales);IE.PPI.ENGY.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Emiratos Árabes Unidos;ARE;Inversión en energía con participación privada (US$ a precios actuales);IE.PPI.ENGY.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3802000000;;;
Argentina;ARG;Inversión en energía con participación privada (US$ a precios actuales);IE.PPI.ENGY.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5023150000;2494840000;2075680000;2135200000;2029790000;3080500000;2092300000;1654800000;1972900000;945500000;111830000;104040000;274000000;248600000;1928000000;489000000;717750000;344250000;322910000;564600000;593000000;1039000000;;120000000;;1826100000;1151820000;2060400000;160000000;;516000000;720000000;;
