country_code,year,gdp_per_capita,tasa_pobreza,densidad_poblacion,deflactor_inflacion_gdp,tasa_natalidad,crecimiento_poblacion_rural,poblacion_rural,tasa_mortalidad_infantil,hdi
ABW,1960,,,,,32.043,,22505.0,,
AFE,1960,186.089204223988,,,,47.7107722136139,,111032160.0,,
AFG,1960,,,,,50.516,,8301167.0,251.2,
AFW,1960,121.936832429715,,,,47.5200651144092,,84014848.0,,
AGO,1960,,,,,51.615,,4688237.0,,
ALB,1960,,,,,41.022,,1112613.0,,
AND,1960,,,,,19.38,,3951.0,,
ARB,1960,,,,,47.8272111239012,,63211722.0,,
ARE,1960,,,,,39.919,,34804.0,145.4,
ARG,1960,778.251706763404,,,,24.152,,5764381.0,,
ARM,1960,,,,,41.197,,910395.0,,
ASM,1960,,,,,41.474,,12557.0,,
ATG,1960,,,,,34.962,,33603.0,62.0,
AUS,1960,1813.43109917039,,,,22.4,,1891497.0,20.4,
AUT,1960,939.914814681174,,,,17.9,,3530778.0,37.2,
AZE,1960,,,,,47.791,,2021400.0,,
BDI,1960,70.9051000304602,,,,46.891,,2713435.0,,
BEL,1960,1290.28607216192,,,,16.8,,3124265.0,29.6,
BEN,1960,89.8569246539715,,,,45.759,,2270853.0,161.4,
BFA,1960,69.1502456087615,,,,46.197,,4537983.0,171.4,
BGD,1960,82.4812774116354,,,,48.999,,49179087.0,178.6,
BGR,1960,,,,,17.8,,4947765.0,45.0,
BHR,1960,,,,,49.599,,29298.0,160.0,
BHS,1960,1459.25382495907,,,,37.504,,49318.0,,
BIH,1960,,,,,34.617,,2657803.0,,
BLR,1960,,,,,24.389,,5520285.0,36.9,
BLZ,1960,307.414508338751,,,,44.552,,42111.0,,
BMU,1960,1715.31463229719,,,,26.214,,143.0,,
BOL,1960,101.833417024987,,,,43.906,,2336386.0,187.4,
BRA,1960,235.266009502589,,,,43.85,,40044415.0,126.4,
BRB,1960,346.575456793331,,,,34.987,,137542.0,70.3,
BRN,1960,,,,,47.234,,50051.0,59.4,
BTN,1960,,,,,48.763,,218521.0,,
BWA,1960,58.9180081084204,,,,47.14,,500671.0,117.6,
CAF,1960,65.8829629770666,,,,43.533,,1359777.0,158.2,
CAN,1960,2264.94849658191,,,,26.7,,5544419.0,27.8,
CEB,1960,,,,,19.1174556985831,,50786771.0,,
CHE,1960,1954.3113206427,,,,17.7,,2609650.0,21.7,
CHI,1960,,,,,15.4,,67703.0,,
CHL,1960,516.487539077836,,,,35.309,,2622111.0,124.0,
CHN,1960,89.7150749167731,,,,20.86,,535352722.0,,
CIV,1960,148.680788984181,,,,54.648,,2996517.0,208.3,
CMR,1960,119.05394115577,,,,43.806,,4456811.0,175.8,
COD,1960,220.074550221277,,,,47.063,,11860785.0,,
COG,1960,124.659670363931,,,,43.5,,668707.0,95.2,
COL,1960,258.304433616071,,,,45.881,,8093061.0,95.4,
COM,1960,,,,,49.392,,171686.0,,
CPV,1960,,,,,47.926,,196372.0,112.3,
CRI,1960,382.309121831519,,,,45.467,,874753.0,70.9,
CSS,1960,455.490441600162,,,,40.8617647083196,,1733666.0,,
CUB,1960,,,,,32.789,,3060931.0,36.5,
CUW,1960,,,,,34.728,,30995.0,,
CYM,1960,,,,,35.741,,0.0,,
CYP,1960,,,,,24.679,,379417.0,,
CZE,1960,,,,,13.4,,3883138.0,21.2,
DEU,1960,1162.12266831735,,,,17.3,,17694573.0,,
DJI,1960,,,,,46.897,,42325.0,,
DMA,1960,,,,,42.226,,36897.0,81.9,
DNK,1960,1389.0213943225,,,,16.6,,1192463.0,21.3,
DOM,1960,205.731509857004,,,,52.019,,2281985.0,102.9,
DZA,1960,238.392476666447,,,,49.01,,7844204.0,161.8,
EAP,1960,90.2785018672539,,,,26.6406020079065,,722506057.0,,
EAR,1960,149.365548876014,,,,44.362093786961,,749827522.0,,
EAS,1960,150.859457445814,,,,26.3082866565233,,783664118.0,,
ECA,1960,,,,,32.6022592049538,,81255503.0,,
ECS,1960,638.829792544218,,,,22.2210956286632,,300778861.0,,
ECU,1960,450.776317102259,,,,43.709,,2998080.0,128.8,
EGY,1960,156.387397481519,,,,47.465,,16722524.0,168.7,
EMU,1960,931.404759430371,,,,18.8301107156174,,104494914.0,,
ERI,1960,,,,,47.729,,871388.0,,
ESP,1960,407.96302786933,,,,21.7,,13261801.0,46.8,
EST,1960,,,,,16.7,,513806.0,,
