country_code,year,educational_attainment_rate,spending_per_student_primary,spending_per_student_secondary,public_expenditure_education,school_enrollment_primary,school_enrollment_secondary,lower_secondary_schools_electricity,economically_active_children_female,economically_active_children_male,out_of_school_children_female,out_of_school_children_male,years_free_primary_secondary,primary_completion_rate,primary_schools_internet,primary_schools_electricity,secondary_schools_internet,literacy_rate,upper_secondary_schools_electricity,years_compulsory_education
ABW,1960,,,,,,,,,,,,,,,,,,,
ABW,1961,,,,,,,,,,,,,,,,,,,
ABW,1962,,,,,,,,,,,,,,,,,,,
ABW,1963,,,,,,,,,,,,,,,,,,,
ABW,1964,,,,,,,,,,,,,,,,,,,
ABW,1965,,,,,,,,,,,,,,,,,,,
ABW,1966,,,,,,,,,,,,,,,,,,,
ABW,1967,,,,,,,,,,,,,,,,,,,
ABW,1968,,,,,,,,,,,,,,,,,,,
ABW,1969,,,,,,,,,,,,,,,,,,,
ABW,1970,,,,,,,,,,,,,,,,,,,
ABW,1971,,,,,,,,,,,,,,,,,,,
ABW,1972,,,,,,,,,,,,,,,,,,,
ABW,1973,,,,,,,,,,,,,,,,,,,
ABW,1974,,,,,,,,,,,,,,,,,,,
ABW,1975,,,,,,,,,,,,,,,,,,,
ABW,1976,,,,,,,,,,,,,,,,,,,
ABW,1977,,,,,,,,,,,,,,,,,,,
ABW,1978,,,,,,,,,,,,,,,,,,,
ABW,1979,,,,,,,,,,,,,,,,,,,
ABW,1980,,,,,,,,,,,,,,,,,,,
ABW,1981,,,,,,,,,,,,,,,,,,,
ABW,1982,,,,,,,,,,,,,,,,,,,
ABW,1983,,,,,,,,,,,,,,,,,,,
ABW,1984,,,,,,,,,,,,,,,,,,,
ABW,1985,,,,,,,,,,,,,,,,,,,
ABW,1986,,,,,,,,,,,,,,,,,,,
ABW,1987,,,,,,,,,,,,,,,,,,,
ABW,1988,,,,,,,,,,,,,,,,,,,
ABW,1989,,,,,,,,,,,,,,,,,,,
ABW,1990,,,,,,,,,,,,,,,,,,,
ABW,1991,,,,,,,,,,,,,,,,,,,
ABW,1992,,,,,,,,,,,,,,,,,,,
ABW,1993,,,,,,,,,,,,,,,,,,,
ABW,1994,,,,,,,,,,,,,,,,,,,
ABW,1995,,,,,,,,,,,,,,,,,,,
ABW,1996,,,,,,,,,,,,,,,,,,,
ABW,1997,,,,,,,,,,,,,,,,,,,
ABW,1998,,,,4.76316022872925,,,,,,,,,,,,,,,
ABW,1999,,11.59103,18.56215,4.39526987075806,,,,,,,,,,,,,,,
ABW,2000,90.31999969482422,13.06282,19.20419,4.71468019485474,,,,,,,,11.0,,,,,97.2900009155273,,0.0
ABW,2001,,12.19509,20.24258,4.79898023605347,110.349670410156,97.5565338134766,,,,,,11.0,88.1275405883789,,,,,,0.0
ABW,2002,,13.78319,19.38926,4.87220001220703,115.669448852539,100.163063049316,,,,,,11.0,98.8329696655273,,,,,,0.0
ABW,2003,,,,,115.985000610352,101.929069519043,,,,,,11.0,97.0246734619141,,,,,,0.0
ABW,2004,,11.41266,17.7411,4.35698986053467,117.217170715332,100.940940856934,,,,,,11.0,95.4701385498047,,,,,,0.0
ABW,2005,,12.21276,17.61527,4.62321996688843,116.929039001465,99.2053527832031,,,,,,11.0,94.4293518066406,,,,,,0.0
ABW,2006,,,,,117.987739562988,99.8657531738281,,,,,,11.0,99.4612808227539,,,,,,0.0
ABW,2007,,,,4.70254993438721,116.970039367676,106.236473083496,,,,,,11.0,97.3307266235352,,,,,,0.0
ABW,2008,,,,4.82730007171631,116.013900756836,97.0627517700195,,,,,,11.0,100.205062866211,,,,,,0.0
ABW,2009,,,,5.79739999771118,117.527481079102,99.1602172851562,,,,,,11.0,97.5935821533203,,,,,,0.0
ABW,2010,91.37999725341795,,,6.75109004974365,119.795837402344,98.2207412719727,100.0,,,,,11.0,99.1608428955078,,100.0,,96.8199996948242,100.0,0.0
ABW,2011,,,,5.91466999053955,106.374038696289,96.633918762207,,,,,,11.0,,,,,,,11.0
ABW,2012,,18.38443,25.09578,6.3472900390625,104.07494354248,108.976188659668,,,,,,11.0,,,,,,,11.0
ABW,2013,,17.36433,,6.44295978546143,114.985320023488,,,,,,,11.0,94.0547790527344,,,,,,11.0
ABW,2014,,17.08119,,5.85128021240234,116.261992182873,,,,,,,11.0,101.321281433105,,,,,,11.0
ABW,2015,,,,5.88826990127563,115.01140867059,,,,,,,11.0,,,,,,,11.0
ABW,2016,,,,5.49136018753052,113.637463697967,,,,,,,11.0,,,,,,,11.0
ABW,2017,,,,4.45581996127504,,,,,,,,11.0,,,,,,,11.0
ABW,2018,,,,4.54876355243615,107.985168457031,137.829788208008,,,,,,11.0,96.1325988769531,,,,,,11.0
ABW,2019,,,,4.43503686776957,108.025001525879,139.320587158203,,,,,,11.0,101.90274810791,,,,,,11.0
ABW,2020,,,,,107.235336303711,135.124725341797,,,,,,11.0,104.266471862793,,,,,,11.0
ABW,2021,,,,3.61855755636695,108.599510192871,123.625907897949,,,,,,11.0,95.7777786254883,,,,,,11.0
ABW,2022,,,,,102.620727539062,131.802169799805,,,,,,11.0,93.8329391479492,,,,,,11.0
ABW,2023,96.48063659667967,,,,,,,,,,,11.0,,,,,,,11.0
ABW,2024,,,,,107.716996929947,124.379366731084,100.0,,,,,,,97.61904761904762,100.0,100.0,,100.0,
