dataset,tipo_analisis,grupo,variable,valor
desarrollo,columnas_mas_de_80_pct_nulos,columna,hdi,96.21
desarrollo,columnas_mas_de_80_pct_nulos,columna,tasa_pobreza,82.82
desarrollo,duplicados,dataset,duplicados_country_code_year,0
desarrollo,duplicados,dataset,duplicados_totales,0
desarrollo,estadistica,columna,crecimiento_poblacion_rural_max,20.4511
desarrollo,estadistica,columna,crecimiento_poblacion_rural_mean,0.5777
desarrollo,estadistica,columna,crecimiento_poblacion_rural_median,0.8001
desarrollo,estadistica,columna,crecimiento_poblacion_rural_min,-172.3285
desarrollo,estadistica,columna,crecimiento_poblacion_rural_std,3.6041
desarrollo,estadistica,columna,deflactor_inflacion_gdp_max,225690.0599
desarrollo,estadistica,columna,deflactor_inflacion_gdp_mean,42.9132
desarrollo,estadistica,columna,deflactor_inflacion_gdp_median,5.2972
desarrollo,estadistica,columna,deflactor_inflacion_gdp_min,-98.7038
desarrollo,estadistica,columna,deflactor_inflacion_gdp_std,1944.9657
desarrollo,estadistica,columna,densidad_poblacion_max,21530.0
desarrollo,estadistica,columna,densidad_poblacion_mean,300.1741
desarrollo,estadistica,columna,densidad_poblacion_median,57.0568
desarrollo,estadistica,columna,densidad_poblacion_min,0.0986
desarrollo,estadistica,columna,densidad_poblacion_std,1521.9772
desarrollo,estadistica,columna,gdp_per_capita_max,288001.4334
desarrollo,estadistica,columna,gdp_per_capita_mean,8701.8878
desarrollo,estadistica,columna,gdp_per_capita_median,1938.8108
desarrollo,estadistica,columna,gdp_per_capita_min,11.8013
desarrollo,estadistica,columna,gdp_per_capita_std,17595.3397
desarrollo,estadistica,columna,hdi_max,0.972
desarrollo,estadistica,columna,hdi_mean,0.7242
desarrollo,estadistica,columna,hdi_median,0.745
desarrollo,estadistica,columna,hdi_min,0.282
desarrollo,estadistica,columna,hdi_std,0.1584
desarrollo,estadistica,columna,poblacion_rural_max,3455100410.0
desarrollo,estadistica,columna,poblacion_rural_mean,122173893.7553
desarrollo,estadistica,columna,poblacion_rural_median,3009106.0
desarrollo,estadistica,columna,poblacion_rural_min,0.0
desarrollo,estadistica,columna,poblacion_rural_std,403961674.9867
desarrollo,estadistica,columna,tasa_mortalidad_infantil_max,472.5
desarrollo,estadistica,columna,tasa_mortalidad_infantil_mean,48.0902
desarrollo,estadistica,columna,tasa_mortalidad_infantil_median,34.2
desarrollo,estadistica,columna,tasa_mortalidad_infantil_min,1.4
desarrollo,estadistica,columna,tasa_mortalidad_infantil_std,43.7003
desarrollo,estadistica,columna,tasa_natalidad_max,57.613
desarrollo,estadistica,columna,tasa_natalidad_mean,27.89
desarrollo,estadistica,columna,tasa_natalidad_median,26.6546
desarrollo,estadistica,columna,tasa_natalidad_min,3.519
desarrollo,estadistica,columna,tasa_natalidad_std,12.9639
desarrollo,estadistica,columna,tasa_pobreza_max,97.0
desarrollo,estadistica,columna,tasa_pobreza_mean,14.7806
desarrollo,estadistica,columna,tasa_pobreza_median,3.2
desarrollo,estadistica,columna,tasa_pobreza_min,0.0
desarrollo,estadistica,columna,tasa_pobreza_std,21.1442
desarrollo,estadistica,columna,year_max,2024.0
desarrollo,estadistica,columna,year_mean,1992.0
desarrollo,estadistica,columna,year_median,1992.0
desarrollo,estadistica,columna,year_min,1960.0
desarrollo,estadistica,columna,year_std,18.7622
desarrollo,info_general,dataset,n_columnas,11
desarrollo,info_general,dataset,n_filas,17290
desarrollo,nulos_absolutos_columna,columna,country_code,0
desarrollo,nulos_absolutos_columna,columna,crecimiento_poblacion_rural,961
desarrollo,nulos_absolutos_columna,columna,deflactor_inflacion_gdp,3252
desarrollo,nulos_absolutos_columna,columna,densidad_poblacion,1994
desarrollo,nulos_absolutos_columna,columna,gdp_per_capita,2729
desarrollo,nulos_absolutos_columna,columna,hdi,16635
desarrollo,nulos_absolutos_columna,columna,poblacion_rural,95
desarrollo,nulos_absolutos_columna,columna,tasa_mortalidad_infantil,4070
desarrollo,nulos_absolutos_columna,columna,tasa_natalidad,360
desarrollo,nulos_absolutos_columna,columna,tasa_pobreza,14320
desarrollo,nulos_absolutos_columna,columna,year,0
desarrollo,nulos_absolutos_por_pais,ABW,country_code,0
desarrollo,nulos_absolutos_por_pais,ABW,crecimiento_poblacion_rural,1
desarrollo,nulos_absolutos_por_pais,ABW,deflactor_inflacion_gdp,27
desarrollo,nulos_absolutos_por_pais,ABW,densidad_poblacion,2
desarrollo,nulos_absolutos_por_pais,ABW,gdp_per_capita,26
desarrollo,nulos_absolutos_por_pais,ABW,hdi,65
desarrollo,nulos_absolutos_por_pais,ABW,poblacion_rural,0
desarrollo,nulos_absolutos_por_pais,ABW,tasa_mortalidad_infantil,65
desarrollo,nulos_absolutos_por_pais,ABW,tasa_natalidad,1
desarrollo,nulos_absolutos_por_pais,ABW,tasa_pobreza,65
desarrollo,nulos_absolutos_por_pais,ABW,year,0
desarrollo,nulos_absolutos_por_pais,AFE,country_code,0
desarrollo,nulos_absolutos_por_pais,AFE,crecimiento_poblacion_rural,1
desarrollo,nulos_absolutos_por_pais,AFE,deflactor_inflacion_gdp,1
desarrollo,nulos_absolutos_por_pais,AFE,densidad_poblacion,3
desarrollo,nulos_absolutos_por_pais,AFE,gdp_per_capita,0
desarrollo,nulos_absolutos_por_pais,AFE,hdi,65
desarrollo,nulos_absolutos_por_pais,AFE,poblacion_rural,0
desarrollo,nulos_absolutos_por_pais,AFE,tasa_mortalidad_infantil,31
desarrollo,nulos_absolutos_por_pais,AFE,tasa_natalidad,1
desarrollo,nulos_absolutos_por_pais,AFE,tasa_pobreza,65
desarrollo,nulos_absolutos_por_pais,AFE,year,0
desarrollo,nulos_absolutos_por_pais,AFG,country_code,0
desarrollo,nulos_absolutos_por_pais,AFG,crecimiento_poblacion_rural,1
desarrollo,nulos_absolutos_por_pais,AFG,deflactor_inflacion_gdp,42
desarrollo,nulos_absolutos_por_pais,AFG,densidad_poblacion,2
desarrollo,nulos_absolutos_por_pais,AFG,gdp_per_capita,41
desarrollo,nulos_absolutos_por_pais,AFG,hdi,57
desarrollo,nulos_absolutos_por_pais,AFG,poblacion_rural,0
desarrollo,nulos_absolutos_por_pais,AFG,tasa_mortalidad_infantil,1
desarrollo,nulos_absolutos_por_pais,AFG,tasa_natalidad,1
desarrollo,nulos_absolutos_por_pais,AFG,tasa_pobreza,65
desarrollo,nulos_absolutos_por_pais,AFG,year,0
desarrollo,nulos_absolutos_por_pais,AFW,country_code,0
desarrollo,nulos_absolutos_por_pais,AFW,crecimiento_poblacion_rural,1
desarrollo,nulos_absolutos_por_pais,AFW,deflactor_inflacion_gdp,1
desarrollo,nulos_absolutos_por_pais,AFW,densidad_poblacion,3
desarrollo,nulos_absolutos_por_pais,AFW,gdp_per_capita,0
desarrollo,nulos_absolutos_por_pais,AFW,hdi,65
desarrollo,nulos_absolutos_por_pais,AFW,poblacion_rural,0
desarrollo,nulos_absolutos_por_pais,AFW,tasa_mortalidad_infantil,31
desarrollo,nulos_absolutos_por_pais,AFW,tasa_natalidad,1
desarrollo,nulos_absolutos_por_pais,AFW,tasa_pobreza,65
desarrollo,nulos_absolutos_por_pais,AFW,year,0
desarrollo,nulos_absolutos_por_pais,AGO,country_code,0
desarrollo,nulos_absolutos_por_pais,AGO,crecimiento_poblacion_rural,1
desarrollo,nulos_absolutos_por_pais,AGO,deflactor_inflacion_gdp,21
desarrollo,nulos_absolutos_por_pais,AGO,densidad_poblacion,2
desarrollo,nulos_absolutos_por_pais,AGO,gdp_per_capita,20
desarrollo,nulos_absolutos_por_pais,AGO,hdi,58
desarrollo,nulos_absolutos_por_pais,AGO,poblacion_rural,0
desarrollo,nulos_absolutos_por_pais,AGO,tasa_mortalidad_infantil,21
desarrollo,nulos_absolutos_por_pais,AGO,tasa_natalidad,1
desarrollo,nulos_absolutos_por_pais,AGO,tasa_pobreza,62
desarrollo,nulos_absolutos_por_pais,AGO,year,0
desarrollo,nulos_absolutos_por_pais,ALB,country_code,0
desarrollo,nulos_absolutos_por_pais,ALB,crecimiento_poblacion_rural,1
desarrollo,nulos_absolutos_por_pais,ALB,deflactor_inflacion_gdp,21
desarrollo,nulos_absolutos_por_pais,ALB,densidad_poblacion,2
desarrollo,nulos_absolutos_por_pais,ALB,gdp_per_capita,20
desarrollo,nulos_absolutos_por_pais,ALB,hdi,57
desarrollo,nulos_absolutos_por_pais,ALB,poblacion_rural,0
desarrollo,nulos_absolutos_por_pais,ALB,tasa_mortalidad_infantil,19
desarrollo,nulos_absolutos_por_pais,ALB,tasa_natalidad,1
desarrollo,nulos_absolutos_por_pais,ALB,tasa_pobreza,53
desarrollo,nulos_absolutos_por_pais,ALB,year,0
desarrollo,nulos_absolutos_por_pais,AND,country_code,0
desarrollo,nulos_absolutos_por_pais,AND,crecimiento_poblacion_rural,1
desarrollo,nulos_absolutos_por_pais,AND,deflactor_inflacion_gdp,11
desarrollo,nulos_absolutos_por_pais,AND,densidad_poblacion,2
desarrollo,nulos_absolutos_por_pais,AND,gdp_per_capita,10
desarrollo,nulos_absolutos_por_pais,AND,hdi,58
desarrollo,nulos_absolutos_por_pais,AND,poblacion_rural,0
desarrollo,nulos_absolutos_por_pais,AND,tasa_mortalidad_infantil,26
desarrollo,nulos_absolutos_por_pais,AND,tasa_natalidad,1
desarrollo,nulos_absolutos_por_pais,AND,tasa_pobreza,65
desarrollo,nulos_absolutos_por_pais,AND,year,0
desarrollo,nulos_absolutos_por_pais,ARB,country_code,0
desarrollo,nulos_absolutos_por_pais,ARB,crecimiento_poblacion_rural,1
desarrollo,nulos_absolutos_por_pais,ARB,deflactor_inflacion_gdp,2
desarrollo,nulos_absolutos_por_pais,ARB,densidad_poblacion,3
desarrollo,nulos_absolutos_por_pais,ARB,gdp_per_capita,1
desarrollo,nulos_absolutos_por_pais,ARB,hdi,65
desarrollo,nulos_absolutos_por_pais,ARB,poblacion_rural,0
desarrollo,nulos_absolutos_por_pais,ARB,tasa_mortalidad_infantil,31
desarrollo,nulos_absolutos_por_pais,ARB,tasa_natalidad,1
desarrollo,nulos_absolutos_por_pais,ARB,tasa_pobreza,65
desarrollo,nulos_absolutos_por_pais,ARB,year,0
desarrollo,nulos_absolutos_por_pais,ARE,country_code,0
desarrollo,nulos_absolutos_por_pais,ARE,crecimiento_poblacion_rural,1
desarrollo,nulos_absolutos_por_pais,ARE,deflactor_inflacion_gdp,11
desarrollo,nulos_absolutos_por_pais,ARE,densidad_poblacion,2
desarrollo,nulos_absolutos_por_pais,ARE,gdp_per_capita,10
desarrollo,nulos_absolutos_por_pais,ARE,hdi,57
